,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBN, RBN St Helens and Knowsley Hospitals NHS Trust ," 1,318 "," 6,153 ", 785 , 759 , 850 ," 1,044 "," 3,888 ", 419 ," 4,222 "," 5,934 "," 10,962 "," 3,332 "," 3,953 "," 6,859 "," 7,177 "," 1,019 ", 271 ," 12,585 "," 10,149 "," 6,847 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ, RBQ Liverpool Heart and Chest NHS Foundation Trust , 13 ," 1,269 ", 47 , 410 , -   , * , * , -   ," 8,449 ", 580 , 110 , * , 17 , * , -   , * , 170 ," 1,018 ", 335 , 406 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS, RBS Alder Hey Children's NHS Foundation Trust ," 1,925 "," 3,427 ", 806 , 894 , * ," 1,031 ", 688 , 717 , 426 ," 5,958 "," 4,395 "," 1,121 "," 2,743 "," 1,845 ", * , 821 ," 4,375 "," 5,475 "," 4,442 "," 1,966 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBT, RBT Mid Cheshire Hospitals NHS Foundation Trust , 996 ," 3,707 "," 1,452 "," 1,206 ", 466 , 890 ," 3,058 ", 339 ," 3,295 "," 3,955 "," 8,842 "," 1,181 "," 3,984 "," 3,847 "," 6,852 "," 1,140 ", 185 ," 13,019 "," 5,327 "," 5,248 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV, RBV The Christie NHS Foundation Trust , 88 ," 10,269 "," 1,723 ", 794 , * , 69 , 8 , * , 171 , 330 , 674 , 226 , 204 , 280 , -   , * , 16 , 509 , 302 ," 1,569 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM, REM Aintree University Hospitals NHS Foundation Trust , 442 ," 7,154 "," 1,471 "," 1,336 ", 527 ," 1,136 "," 2,976 ", 305 ," 4,830 "," 4,637 "," 12,879 "," 2,323 "," 5,410 "," 3,504 ", 18 , -   , 140 ," 14,547 "," 5,770 "," 3,038 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN, REN Clatterbridge Centre For Oncology NHS Foundation Trust , 122 ," 3,624 ", 349 , 63 , -   , * , -   , -   , 22 , 37 , 57 , 8 , 27 , 25 , -   , -   , -   , 113 , 12 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP, REP Liverpool Women's NHS Foundation Trust , 14 ," 1,264 ", 10 , 17 , -   , * , 9 , -   , 6 , * , 40 , 71 , 6 ," 4,886 "," 21,474 "," 3,466 ", 369 , 935 , 94 ," 8,264 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET, RET The Walton Centre NHS Foundation Trust , 12 , 733 , 18 , 24 , 20 ," 2,362 ", 74 , 12 , 640 , 8 , * , * ," 2,435 ", 11 , * , -   , 176 , 704 , 644 , 416 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJN, RJN East Cheshire NHS Trust , 944 ," 2,130 ", 562 , 355 , 306 , 706 ," 1,373 ", 217 ," 2,406 "," 2,584 "," 6,396 ", 537 ," 2,416 "," 2,363 "," 2,877 ", 870 , 86 ," 4,368 "," 3,248 "," 2,551 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJR, RJR Countess of Chester Hospital NHS Foundation Trust , 993 ," 5,791 "," 1,448 ", 976 , 333 , 899 ," 2,977 ", 524 ," 3,842 "," 3,584 "," 9,065 "," 1,511 "," 3,625 "," 5,287 "," 10,165 "," 1,261 ", 262 ," 11,122 "," 5,636 "," 7,281 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJX, RJX Calderstones Partnership NHS Foundation Trust , -   , -   , -   , -   , 128 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM2, RM2 University Hospital of South Manchester NHS Foundation Trust ," 1,055 "," 8,999 ", 651 ," 1,068 ", 522 ," 1,337 ", 94 , 449 ," 8,727 "," 6,123 "," 9,917 "," 2,132 "," 6,738 "," 6,504 "," 5,919 "," 1,633 ", 977 ," 11,974 "," 7,624 "," 6,352 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM3, RM3 Salford Royal NHS Foundation Trust , 927 ," 5,346 "," 1,476 "," 2,236 ", 634 ," 4,731 ", 76 , 365 ," 5,366 "," 3,921 "," 9,647 "," 1,422 "," 8,892 "," 4,709 "," 11,411 "," 1,504 ", 269 ," 10,725 "," 5,715 "," 7,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM4, RM4 Trafford Healthcare NHS Trust , 240 ," 1,975 ", 858 , 640 , 123 , 498 , * , 234 ," 1,311 "," 1,605 "," 4,076 ", 604 ," 3,312 "," 1,903 ", 180 , * , 46 ," 3,463 "," 1,331 ", 800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC, RMC Royal Bolton Hospital NHS Foundation Trust ," 1,837 "," 3,946 "," 1,008 ", 680 , 357 ," 1,106 "," 4,525 ", 578 ," 4,374 "," 5,433 "," 10,499 "," 1,319 "," 3,288 "," 3,865 "," 9,651 "," 1,073 ", 269 ," 10,389 "," 4,690 "," 7,937 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMP, RMP Tameside Hospital NHS Foundation Trust ," 1,028 "," 3,364 ", 901 , 787 , 523 ," 1,016 ", 40 , 361 ," 4,188 "," 4,230 "," 6,728 "," 1,294 "," 3,101 "," 3,617 "," 5,465 ", 847 , 244 ," 6,600 "," 3,416 "," 3,288 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNL, RNL North Cumbria University Hospitals NHS Trust ," 1,560 "," 9,328 "," 1,044 ", 747 , 415 ," 1,508 "," 2,704 ", 543 ," 9,828 "," 4,513 "," 11,921 "," 1,355 "," 5,239 "," 8,344 "," 5,616 ", 635 , 265 ," 8,010 "," 5,393 "," 4,966 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN, RNN Cumbria Partnership NHS Foundation Trust , -   , -   , * , -   , 637 , 59 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37 , * , 291 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ6, RQ6 Royal Liverpool and Broadgreen University Hospitals NHS Trust , 703 ," 7,101 "," 1,911 "," 1,464 ", 765 ," 1,360 "," 5,963 ", 385 ," 5,353 "," 4,766 "," 14,907 "," 2,335 "," 9,334 "," 3,882 ", 26 , -   , 181 ," 12,775 "," 8,092 "," 2,550 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRF," RRF Wrightington, Wigan and Leigh NHS Foundation Trust ", 698 ," 6,531 "," 1,534 "," 2,178 ", 617 ," 1,485 "," 4,553 ", 394 ," 4,870 "," 4,181 "," 11,679 "," 1,770 "," 12,557 "," 3,814 "," 6,240 ", 792 , 289 ," 9,470 "," 6,453 "," 5,167 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT2, RT2 Pennine Care NHS Foundation Trust , -   , -   , -   , * ," 3,067 ", 121 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 , 12 , 145 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTV, RTV 5 Boroughs Partnership NHS Foundation Trust , -   , -   , -   , * ," 2,416 ", 197 , * , -   , * , -   , * , -   , -   , -   , -   , -   , * , 14 , -   , 219 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX, RTX University Hospitals of Morecambe Bay NHS Foundation Trust ," 1,224 "," 9,969 ", 988 , 835 , 520 ," 1,733 "," 3,713 ", 650 ," 6,286 "," 5,655 "," 10,564 "," 2,914 "," 6,786 "," 5,610 "," 5,399 ", 832 , 573 ," 10,703 "," 6,356 "," 6,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVY, RVY Southport and Ormskirk Hospital NHS Trust ," 1,111 "," 5,088 "," 1,976 "," 1,505 ", 525 , 778 ," 2,890 ", 254 ," 3,473 "," 3,731 "," 7,669 "," 1,184 "," 5,902 "," 3,225 "," 4,693 ", 960 , 116 ," 7,029 "," 3,590 "," 4,177 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3-X, RW3-X Central Manchester University Hospitals NHS Foundation Trust ," 1,401 "," 11,310 "," 3,327 "," 5,928 ", 650 ," 1,879 "," 11,500 ", 902 ," 7,711 "," 6,422 "," 17,102 "," 1,793 "," 6,305 "," 8,167 "," 13,129 "," 2,676 "," 3,507 "," 16,140 "," 9,026 "," 11,246 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4, RW4 Mersey Care NHS Trust , -   , -   , * , * ," 2,638 ", 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43 , 103 , 387 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW5, RW5 Lancashire Care NHS Foundation Trust , -   , -   , -   , * ," 3,399 ", 281 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 166 , * , 88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW6, RW6 Pennine Acute Hospitals NHS Trust ," 5,611 "," 14,437 "," 3,884 "," 3,914 "," 1,191 "," 3,174 "," 6,181 "," 1,509 "," 13,436 "," 15,430 "," 30,207 "," 4,467 "," 18,214 "," 14,305 "," 22,309 "," 3,454 ", 842 ," 25,836 "," 13,963 "," 15,895 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWJ, RWJ Stockport NHS Foundation Trust ," 1,711 "," 4,592 "," 1,344 "," 1,120 ", 611 ," 1,513 "," 2,893 ", 524 ," 4,843 "," 4,890 "," 11,551 "," 1,308 "," 6,890 "," 6,245 "," 9,199 "," 1,374 ", 283 ," 10,949 "," 5,980 "," 7,767 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWW, RWW Warrington and Halton Hospitals NHS Foundation Trust ," 1,127 "," 4,194 "," 1,565 "," 1,906 ", 760 ," 1,160 "," 3,167 ", 455 ," 5,019 "," 4,372 "," 9,747 "," 1,174 "," 5,945 "," 5,684 "," 6,932 "," 2,037 ", 197 ," 11,394 "," 6,516 "," 4,634 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA, RXA Cheshire and Wirral Partnership NHS Foundation Trust , -   , -   , -   , -   ," 2,831 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , 100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL, RXL Blackpool Teaching Hospitals NHS Foundation Trust , 874 ," 14,943 "," 1,250 "," 1,570 ", 660 ," 1,308 "," 8,666 ", 586 ," 8,998 "," 4,681 "," 9,814 "," 3,020 "," 5,439 "," 5,239 "," 5,466 ", 757 , 336 ," 13,396 "," 5,702 "," 7,981 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXN, RXN Lancashire Teaching Hospitals NHS Foundation Trust ," 1,955 "," 12,089 "," 2,491 "," 1,887 ", 695 ," 3,547 "," 2,901 ", 813 ," 9,236 "," 6,929 "," 13,143 "," 3,420 "," 10,162 "," 8,531 "," 13,591 ", 789 ," 1,065 "," 12,583 "," 9,874 "," 10,691 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXR, RXR East Lancashire Hospitals NHS Trust ," 2,591 "," 9,650 "," 2,309 "," 2,193 ", 677 ," 2,009 "," 4,463 ", 867 ," 8,000 "," 9,503 "," 18,785 "," 2,417 "," 9,213 "," 7,174 "," 11,441 "," 2,158 ", 829 ," 16,964 "," 9,027 "," 9,466 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV, RXV Greater Manchester West Mental Health NHS Foundation Trust , * , * , -   , -   ," 2,066 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 623 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAE, TAE Manchester Mental Health and Social Care Trust , * , * , -   , * ," 1,126 ", 19 , -   , -   , * , -   , * , -   , -   , -   , 31 , -   , -   , 66 , -   , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38, Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY ," 13,681 "," 94,941 "," 13,571 "," 13,001 "," 11,255 "," 21,356 "," 38,135 "," 5,598 "," 57,395 "," 50,952 "," 109,549 "," 17,874 "," 75,710 "," 59,226 "," 82,782 "," 14,530 "," 7,974 "," 98,091 "," 66,867 "," 80,803 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CQ, 5CQ Milton Keynes PCT , * , 7 , * , * , 286 , 13 , -   , -   , 13 , 27 , * , 9 , 36 , 15 , -   , -   , -   , 392 , 81 , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5FE, 5FE Portsmouth City Teaching PCT , 8 , 44 , * , * , 664 , 27 , -   , * , 12 , 24 , 13 , * , 10 , 17 ," 1,063 ", -   , * , 188 , 38 , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5L1, 5L1 Southampton City PCT , * , 26 , * , 21 , 407 , 136 , * , -   , 293 , 57 , 207 , 19 , 68 , 37 , 330 , -   , * , 215 , 191 , 347 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QC, 5QC Hampshire PCT , 59 ," 1,182 ", 387 , 101 , 65 , 418 , 766 , 19 ," 1,037 ", 796 ," 1,993 ", 527 , 689 , 762 , * , -   , * ," 1,353 ", 436 , 524 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QD, 5QD Buckinghamshire PCT , 7 , 347 , * , 48 , 16 , 229 , 7 , * , 71 , 58 , 26 , 12 , 43 , 69 , -   , -   , 38 , 213 , 236 , 81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QE, 5QE Oxfordshire PCT , 7 , 63 , * , 14 , 15 , 15 , -   , * , 206 , 64 , 17 , 7 , 32 , 44 , -   , -   , -   , 961 , 248 , 363 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QF, 5QF Berkshire West PCT , -   , 80 , * , * , 8 , 16 , -   , -   , 30 , 19 , * , 11 , 11 , 9 , -   , -   , -   , 29 , 16 ," 1,289 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QG, 5QG Berkshire East PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 508 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QT, 5QT Isle of Wight NHS PCT , 349 ," 1,815 ", 204 , 283 , 497 , 587 ," 1,436 ", 219 ," 1,680 "," 1,768 "," 2,961 ", 654 ," 2,291 "," 1,701 "," 1,727 ", 542 , 73 ," 3,099 "," 2,118 "," 1,385 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT244, NT244 Nuffield Hospital Oxford (The Manor) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 49 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT304, NT304 Spire Southampton Hospital , -   , 12 , * , 168 , -   , 11 , -   , -   , 52 , -   , 81 , 6 , 263 , 43 , -   , -   , * , 6 , 21 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT305, NT305 Spire Portsmouth Hospital , -   , * , -   , -   , -   , * , -   , -   , -   , -   , 97 , * , 423 , -   , -   , -   , -   , -   , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT343, NT343 Spire Thames Valley Hospital , -   , * , -   , -   , -   , * , -   , * , * , 8 , 10 , * , 69 , 20 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT344, NT344 Spire Dunedin Hospital , * , 16 , * , * , -   , 32 , 152 , * , 61 , 6 , 225 , 8 , 304 , 19 , -   , -   , -   , 23 , * , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT345, NT345 Spire Clare Park Hospital , -   , * , -   , -   , -   , * , -   , * , 18 , 12 , 112 , * , 170 , 30 , -   , -   , -   , 17 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT410, NT410 BMI - The Chiltern Hospital , -   , * , * , -   , -   , * , -   , -   , 61 , * , 150 , * , 380 , 55 , -   , -   , -   , 62 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT415, NT415 BMI - The Foscote Hospital , -   , 9 , * , -   , -   , 15 , -   , -   , 15 , -   , 122 , * , 47 , 26 , -   , -   , * , 15 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT418, NT418 BMI - The Hampshire Clinic , * , 29 , * , -   , -   , 30 , 85 , 6 , 22 , 54 , 253 , 22 , 389 , 78 , -   , -   , * , 106 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT428, NT428 BMI - The Princess Margaret Hospital , -   , * , -   , -   , -   , 7 , * , -   , -   , -   , 70 , * , 228 , 69 , -   , -   , * , 28 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT433, NT433 BMI - Sarum Road Hospital , -   , * , -   , -   , -   , 54 , -   , -   , * , * , 92 , -   , 195 , 41 , -   , -   , -   , 13 , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT434, NT434 BMI - The Saxon Clinic , -   , 41 , 6 , * , -   , 54 , * , -   , 157 , -   , 259 , 64 , 471 , 160 , -   , -   , * , 86 , * , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT435, NT435 BMI - The Shelburne Hospital , * , 9 , -   , -   , -   , 35 , -   , -   , 11 , -   , 33 , 9 , 268 , 39 , -   , -   , * , 6 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP11, NTP11 Southampton NHS Treatment Centre , 27 , 397 , 35 , * , * , 322 , 629 , 27 , 172 , 211 ," 4,512 ", 240 ," 1,583 ", 927 , 13 , -   , 11 , 227 , 19 , 454 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPAD, NTPAD St Mary's NHS Treatment Centre , 24 , 628 , 42 , * , * , 420 ," 1,018 ", * , 170 , * ," 1,863 "," 1,027 ", 517 , -   , -   , -   , * , 311 , 13 , 250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC02, NVC02 The Berkshire Independent Hospital , * , 12 , 14 , -   , * , 81 , -   , -   , 8 , -   , 208 , 22 , 933 , 196 , * , -   , -   , 83 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC25, NVC25 Horton NHS Treatment Centre , -   , * , -   , -   , -   , 214 , -   , -   , -   , -   , -   , 21 ," 3,301 ", -   , -   , -   , * , 8 , 132 , 120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC31, NVC31 Blakelands NHS Treatment Centre , -   , 71 , 24 , -   , -   , 67 , 441 , -   , 44 , -   , 378 , 8 , 329 , * , -   , -   , -   , 428 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF-X, RBF-X Nuffield Orthopaedic Centre NHS Trust , 12 , 345 , 18 , 22 , * , 795 , * , -   , 75 , 14 , 10 , 218 ," 6,852 ", * , -   , -   , 109 , 20 , 900 , 141 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7, RD7 Heatherwood and Wexham Park Hospitals NHS Foundation Trust , 953 ," 5,722 ", 773 , 853 , 276 ," 1,297 ", 106 , 558 ," 4,873 "," 4,254 "," 11,047 "," 2,254 "," 5,996 "," 6,196 "," 8,115 "," 1,013 ", 500 ," 8,751 "," 6,801 "," 6,829 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD8, RD8 Milton Keynes Hospital NHS Foundation Trust ," 1,421 "," 5,392 ", 864 , 900 , 341 , 852 ," 1,123 ", 408 ," 3,206 "," 3,746 "," 7,129 ", 922 ," 3,620 "," 3,634 "," 7,311 ", 689 , 163 ," 8,458 "," 4,060 "," 6,385 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
