 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q30 North East Strategic Health Authority ," 12,176 "," 108,070 "," 13,193 "," 13,087 "," 5,488 "," 18,191 "," 34,751 "," 6,174 "," 54,677 "," 48,545 "," 99,012 "," 18,744 "," 65,083 "," 47,188 "," 60,776 "," 11,275 "," 6,485 "," 118,536 "," 59,242 "," 61,533 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5KG South Tyneside PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 339 , -   , -   , -   , -   , -   , -   , * , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5KL Sunderland Teaching PCT , -   , 256 , -   , * , -   , 14 , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QR Redcar and Cleveland PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT229 Nuffield Health, Newcastle-Upon-Tyne Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT237 Nuffield Health, Tees Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT333 Spire Washington Hospital , * , 71 , -   , * , -   , 79 , -   , * , 113 , 37 , 151 , 17 , 797 , 48 , -   , -   , * , 563 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTYH9 Tyneside Surgical Services Ltd , -   , 15 , -   , -   , -   , 15 , 21 , -   , * , * , 91 , 11 , 158 , * , -   , -   , * , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC29 Cobalt NHS Treatment Centre , -   , 451 , 31 , -   , * , * , -   , -   , 24 , -   , 684 , 343 , * , -   , -   , -   , 90 , 498 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC35 Tees Valley Treatment Centre , -   , 113 , * , -   , * , -   , -   , -   , 62 , * , 824 , 73 , 542 , 43 , -   , -   , -   , 864 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RE9 South Tyneside NHS Foundation Trust , * ," 4,645 ", 683 , 507 , 120 , * , 26 , * ," 2,443 "," 2,103 "," 5,594 ", 722 ," 2,013 "," 1,187 "," 2,695 ", 610 , 107 ," 4,664 "," 1,976 "," 1,990 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RLN City Hospitals Sunderland NHS Foundation Trust ," 1,002 "," 12,050 "," 1,513 "," 2,448 ", 482 ," 2,570 "," 13,180 "," 1,384 "," 5,697 "," 5,184 "," 11,921 "," 1,831 "," 7,782 "," 7,252 "," 6,291 ", 665 , 498 ," 16,981 "," 6,925 "," 8,672 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RR7 Gateshead Health NHS Foundation Trust ," 1,082 ", * , * , 529 , 391 , 898 , 43 , 87 ," 2,827 "," 3,899 "," 4,106 ", 822 ," 3,316 "," 2,500 "," 3,199 "," 1,095 ", 124 ," 5,870 "," 3,712 "," 1,916 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTD The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 2,039 "," 32,678 "," 3,366 "," 3,174 ", 603 ," 4,994 "," 10,718 "," 1,851 "," 13,219 "," 8,813 "," 18,516 "," 4,022 "," 13,379 "," 10,620 "," 9,874 "," 1,597 "," 3,424 "," 21,313 "," 12,267 "," 16,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTF Northumbria Healthcare NHS Foundation Trust ," 1,746 "," 11,511 "," 1,730 "," 1,316 ", 908 ," 1,832 ", 160 , 425 ," 7,624 "," 6,547 "," 15,502 "," 1,913 "," 10,704 "," 5,957 "," 7,761 "," 1,434 ", 248 ," 17,063 "," 8,554 "," 9,045 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTR South Tees Hospitals NHS Trust ," 1,926 "," 21,387 "," 2,257 "," 2,031 ", 434 ," 3,859 "," 6,729 "," 1,389 "," 10,315 "," 8,577 "," 14,427 "," 3,182 "," 10,415 "," 8,492 "," 9,911 "," 2,907 "," 1,085 "," 16,551 "," 10,264 "," 8,483 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVW North Tees and Hartlepool NHS Foundation Trust ," 1,430 "," 9,225 "," 1,404 "," 1,006 ", 385 ," 1,312 ", 86 , 147 ," 4,965 "," 5,450 "," 12,417 "," 1,564 "," 8,533 "," 5,425 "," 8,284 "," 1,049 ", 201 ," 11,487 "," 5,207 "," 5,081 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RX3 Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , * , 8 , 12 ," 1,514 ", 124 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 20 ," 3,171 ", * , 637 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RX4 Northumberland, Tyne and Wear NHS Trust ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   ," 3,285 ", -   , 146 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXP County Durham and Darlington NHS Foundation Trust ," 2,224 "," 13,604 "," 1,796 "," 2,060 ", 631 ," 2,020 "," 3,788 ", 843 ," 7,380 "," 7,927 "," 14,440 "," 4,244 "," 7,389 "," 5,648 "," 12,761 "," 1,918 ", 685 ," 16,197 "," 10,327 "," 9,231 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q31 North West Strategic Health Authority ," 29,924 "," 182,056 "," 37,229 "," 34,367 "," 30,223 "," 38,310 "," 80,665 "," 16,362 "," 152,988 "," 127,918 "," 266,615 "," 48,157 "," 172,188 "," 138,061 "," 194,344 "," 31,552 "," 16,953 "," 287,577 "," 147,830 "," 159,138 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5J2 Warrington Pct , -   , -   , * , -   , -   , -   , -   , -   , * , -   , * , -   , * , -   , -   , -   , -   , 284 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5NE Cumbria Teaching PCT , 38 , 231 , 31 , 48 , 64 , 117 , * , * , 269 , 300 , 161 , 111 , 154 , 167 , -   , -   , * , 519 , 252 , 366 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5NG Central Lancashire PCT , * , 10 , * , * , * , * , -   , * , 15 , 9 , * , * , 20 , * , -   , -   , -   , 32 , 6 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5NL Liverpool PCT , 10 , 30 , 16 , 28 , 9 , 15 , -   , -   , 79 , 109 , 63 , 24 , 68 , 65 , -   , -   , -   , 252 , 162 , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5NN Western Cheshire PCT , * , 16 , * , * , * , 7 , -   , -   , 124 , 32 , 29 , 20 , 19 , 34 , -   , -   , -   , 324 , 99 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT210 Nuffield Health, The Grosvenor Hospital, Chester ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT324 Spire Cheshire Hospital , -   , 6 , * , -   , -   , 52 , 26 , 16 , 68 , 94 , 208 , 13 , 659 , 226 , -   , -   , * , 255 , -   , 23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT325 Spire Murrayfield Hospital , -   , 6 , * , -   , -   , 32 , * , 15 , 161 , 68 , 255 , 20 , 534 , 206 , -   , -   , * , 297 , -   , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT327 Spire Manchester Hospital , -   , 6 , * , * , -   , 55 , -   , * , 26 , 7 , 71 , * , 256 , 79 , -   , -   , -   , 137 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT337 Spire Liverpool Hospital , -   , -   , 9 , -   , -   , 10 , -   , 17 , 111 , 99 , 217 , 9 , 168 , 162 , -   , -   , -   , 409 , -   , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT339 Spire Regency Hospital , -   , -   , -   , 128 , -   , 21 , -   , -   , 15 , * , 86 , -   , 322 , 22 , -   , -   , -   , 86 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT340 BMI South Cheshire Private Hospital (Spire) , -   , -   , -   , -   , -   , 15 , -   , * , 15 , 12 , 35 , * , 162 , 16 , -   , -   , -   , 139 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT347 Spire Fylde Coast Hospital , -   , * , -   , * , -   , 19 , 55 , -   , * , 17 , 25 , * , 156 , * , -   , -   , -   , 20 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT401 BMI - The Alexandra Hospital , -   , -   , -   , -   , -   , -   , -   , -   , 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT403 BMI - The Beardwood Hospital , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 60 , -   , 44 , -   , -   , -   , 12 , 9 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT420 BMI - The Highfield Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 55 , -   , -   , -   , -   , 9 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT714 Greater Manchester Surgical Centre , -   , 103 , * , * , * , 209 , * , 24 , 101 , 118 , 223 , 31 ," 1,476 ", * , -   , -   , -   ," 2,328 ", 11 , 182 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT718 Preston Business Centre - Sharoe Green , -   , -   , -   , -   , -   , -   , 471 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT719 Rossendale Hospital , -   , -   , -   , -   , -   , -   , 226 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT720 Royal Lancaster Infirmary , -   , -   , -   , -   , -   , -   , 91 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT721 Cumberland Infirmary - Carlisle , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT722 St Catherine's General Hospital , -   , -   , -   , -   , -   , -   , 222 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT723 Halton District Hospital , -   , -   , -   , -   , -   , -   , 175 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT725 Macclesfield Leisure Centre , -   , -   , -   , -   , -   , -   , 41 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTD02 The Cheshire & Merseyside NHS Treatment Centre , * , 36 , * , * , -   , 433 , -   , -   , * , * , -   , 38 ," 4,020 ", * , -   , -   , * , 43 , 209 , 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTH04 Regency Hospital , -   , -   , -   , 95 , -   , -   , -   , * , -   , * , 9 , -   , 39 , * , -   , -   , -   , 17 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTH05 Fylde Coast Hospital , -   , -   , -   , -   , -   , * , 40 , -   , -   , -   , -   , -   , 12 , * , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
