"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2016-17)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2016-17.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RK5, Sherwood Forest Hospitals NHS Foundation Trust (RK5) ," 2,329 "," 8,083 "," 2,051 "," 1,427 ", 519 ," 1,536 "," 2,483 ", 554 ," 4,487 "," 6,666 "," 11,391 "," 3,643 "," 7,432 "," 7,741 "," 9,127 "," 1,026 ", 201 ," 13,700 "," 5,081 ", -   ," 6,386 ",
RXW, Shrewsbury and Telford Hospital NHS Trust (RXW) ," 3,044 "," 25,401 "," 2,956 "," 2,869 ", 389 ," 1,985 "," 3,057 ", 620 ," 7,467 "," 9,036 "," 16,689 "," 1,812 "," 4,448 "," 7,903 "," 6,810 "," 2,256 ", 398 ," 15,594 "," 6,714 ", -   ," 6,883 ",
R1D, Shropshire Community Health NHS Trust (R1D) , 32 , 122 , 9 , 35 , 29 , 126 , * , * , 153 , 224 , 893 , 99 , 187 , 245 , -   , -   , -   , 301 , 423 , -   , 74 ,
R1C, Solent NHS Trust (R1C) , 12 , 85 , * , 7 , 15 , 61 , -   , -   , 118 , 133 , 39 , 31 , 72 , 57 , -   , -   , -   , 146 , 271 , -   , * ,
RH5, Somerset Partnership NHS Foundation Trust (RH5) , 44 , 109 , * , 17 , 871 , 59 , -   , -   , 316 , 224 , 55 , 93 , 173 , 159 , -   , -   , -   ," 1,402 ", 536 , * , 51 ,
NFH01, Somerset Surgical Services (NFH01) , 8 , 334 , -   , * , -   , 76 , 502 , 9 , * , * , 278 , 175 , 260 , -   , -   , -   , 9 , * , * , -   , * ,
RWN, South Essex Partnership University NHS Foundation Trust (RWN) , -   , -   , -   , -   , 26 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,479 ", -   , -   , -   ,
NR526, South Hams (Kingsbridge) Hospital (NR526) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 345 , -   , -   , -   ,
RV5, South London and Maudsley NHS Foundation Trust (RV5) , -   , -   , -   , -   ," 5,440 ", * , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 79 , -   , -   , 144 ,
RRE, South Staffordshire and Shropshire Healthcare NHS Foundation Trust (RRE) , -   , -   , -   , -   , 830 , 6 , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   ," 1,224 ", * , -   , 14 ,
RTR, South Tees Hospitals NHS Foundation Trust (RTR) ," 6,019 "," 24,085 "," 3,710 "," 3,027 ", 802 ," 4,750 "," 5,128 "," 1,108 "," 11,365 "," 11,132 "," 19,064 "," 4,723 "," 12,770 "," 7,708 "," 9,537 "," 1,661 "," 1,106 "," 12,182 "," 9,590 ", -   ," 7,947 ",
RE9, South Tyneside NHS Foundation Trust (RE9) ," 1,212 "," 4,657 "," 1,250 ", 877 , 265 , 466 , 14 , 33 ," 2,082 "," 3,118 "," 5,854 ", 715 ," 1,984 "," 1,629 "," 3,885 ", 441 , 65 ," 4,328 "," 2,122 ", -   ," 2,000 ",
RJC, South Warwickshire NHS Foundation Trust (RJC) ," 1,717 "," 10,203 ", 841 ," 1,149 ", 308 , 960 ," 1,946 ", 390 ," 2,518 "," 3,782 "," 6,985 "," 1,040 "," 4,666 "," 4,484 "," 3,842 "," 1,506 ", 105 ," 7,909 "," 4,003 ", -   ," 3,599 ",
RQY, South West London and St George's Mental Health NHS Trust (RQY) , -   , -   , -   , -   ," 1,087 ", * , -   , * , -   , -   , * , -   , -   , -   , -   , -   , * , 38 , -   , -   , 22 ,
RXG, South West Yorkshire Partnership NHS Foundation Trust (RXG) , 18 , 23 , * , 9 ," 1,503 ", 142 , -   , -   , 229 , 91 , 27 , 46 , 37 , 48 , -   , -   , * , 467 , 104 , -   , 23 ,
NTP11, Southampton NHS Treatment Centre (NTP11) , 45 , 438 , 49 , 13 , 18 , 457 , 936 , 43 , 17 , 244 ," 6,064 ", 211 ," 1,978 ", 755 , -   , -   , 17 , 742 , 191 , -   , 407 ,
RAJ, Southend University Hospital NHS Foundation Trust (RAJ) ," 1,765 "," 18,326 "," 2,610 "," 1,814 ", 285 ," 1,745 "," 6,441 ", 321 ," 5,114 "," 5,384 "," 9,080 "," 2,170 "," 8,335 "," 5,727 "," 7,101 ", 917 , 274 ," 14,644 "," 4,902 ", -   ," 6,073 ",
RW1, Southern Health NHS Foundation Trust (RW1) , 154 , 710 , 364 , 118 ," 1,929 ", 327 ," 1,112 ", 30 , 420 , 939 ," 2,232 ", 254 , 549 , 904 , * , * , 7 ," 2,608 ", 439 , -   , 569 ,
RVY, Southport and Ormskirk Hospital NHS Trust (RVY) ," 1,981 "," 4,870 "," 2,436 "," 1,644 ", 522 , 826 ," 2,587 ", 255 ," 2,503 "," 4,101 "," 8,160 "," 1,089 "," 5,214 "," 2,823 "," 3,444 "," 1,046 ", 98 ," 5,809 "," 3,414 ", -   ," 3,264 ",
NPG05, Spamedica - Newton-Le-Willows (NPG05) , -   , * , -   , -   , -   , -   ," 2,652 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , 9 ,
NPG02, Spamedica (Birkenhead) (NPG02) , -   , -   , -   , -   , -   , * ," 2,577 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 7 ,
NPG01, Spamedica (Manchester) (NPG01) , -   , * , -   , * , -   , -   ," 11,187 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 17 , -   , 22 ,
NPG07, Spamedica Eye Hospital (Wakefield) (NPG07) , -   , -   , -   , -   , -   , -   ," 3,662 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , * ,
NPG06, Spamedica Liverpool (NPG06) , -   , -   , -   , -   , -   , -   ," 1,381 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,
NT312, Spire Alexandra Hospital (NT312) , * , 75 , * , -   , -   , 25 , -   , -   , -   , -   , 268 , 69 , 664 , 200 , -   , -   , * , 23 , 21 , -   , 11 ,
NT302, Spire Bristol Hospital (NT302) , -   , * , -   , -   , -   , 237 , -   , -   , * , -   , 58 , -   ," 1,427 ", * , -   , -   , * , * , 13 , -   , * ,
NT315, Spire Bushey Hospital (NT315) , * , 24 , * , -   , -   , 61 , -   , -   , -   , -   , 412 , 22 , 680 , -   , -   , -   , * , 21 , 18 , -   , * ,
NT317, Spire Cambridge Lea Hospital (NT317) , -   , * , -   , -   , -   , 6 , -   , -   , -   , -   , 42 , 13 , 804 , -   , -   , -   , * , * , 30 , -   , * ,
NT324, Spire Cheshire Hospital (NT324) , 8 , 88 , 16 , * , * , 133 , 165 , 32 , 107 , 174 , 712 , 66 , 981 , 268 , -   , -   , 10 , 126 , 49 , -   , 42 ,
NT345, Spire Clare Park Hospital (NT345) , 8 , 12 , -   , -   , -   , 26 , -   , * , -   , 15 , 163 , 8 , 716 , 55 , -   , -   , * , 39 , 8 , -   , 9 ,
NT344, Spire Dunedin Hospital (NT344) , 13 , 21 , 9 , -   , -   , 85 , -   , -   , -   , * , 413 , 10 ," 1,182 ", * , -   , -   , * , 124 , 10 , -   , 21 ,
NT348, Spire Elland Hospital (NT348) , 24 , 43 , * , * , -   , 164 , -   , * , 16 , 47 , 798 , 28 ," 2,174 ", 635 , -   , -   , * , 186 , 34 , -   , 174 ,
NT347, Spire Fylde Coast Hospital (NT347) , 11 , 67 , * , * , * , 114 ," 1,179 ", 34 , 152 , 329 , 646 , 31 ," 2,190 ", 361 , * , -   , * , 130 , 37 , -   , 120 ,
NT308, Spire Gatwick Park Hospital (NT308) , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   , 141 , -   , 435 , 10 , -   , -   , -   , * , * , -   , * ,
NT316, Spire Harpenden Hospital (NT316) , -   , 26 , -   , -   , -   , 69 , -   , 11 , * , 83 , 151 , 47 ," 1,374 ", * , -   , -   , * , 12 , 48 , -   , 7 ,
NT319, Spire Hartswood Hospital (NT319) , * , 8 , -   , -   , -   , 42 , 415 , 30 , -   , 167 , 204 , 9 , 498 , 45 , -   , -   , * , 11 , 10 , -   , 11 ,
NT351, Spire Hull and East Riding Hospital (NT351) , 36 , 474 , * , * , 8 , 334 , -   , 17 , 153 , 33 , 818 , 406 ," 6,004 ", 191 , -   , -   , 7 , 541 , 67 , -   , 60 ,
NT332, Spire Leeds Hospital (NT332) , 19 , 103 , 10 , -   , -   , 336 , -   , 39 , -   , 245 , 854 , 180 ," 2,202 ", * , -   , -   , 9 , 83 , 45 , * , 19 ,
NT322, Spire Leicester Hospital (NT322) , * , 50 , -   , -   , -   , 70 , -   , -   , -   , -   , 208 , 116 ," 1,032 ", * , * , -   , * , 8 , 11 , -   , * ,
NT321, Spire Little Aston Hospital (NT321) , * , 50 , -   , -   , -   , 113 , -   , 16 , -   , 12 , 214 , 30 ," 1,946 ", 220 , -   , -   , * , * , 50 , -   , 21 ,
NT337, Spire Liverpool Hospital (NT337) , 59 , 85 , 51 , * , * , 318 , 563 , 59 , 17 , 287 ," 1,945 ", 25 ," 2,843 ", 375 , -   , -   , 7 , 452 , 102 , -   , 145 ,
NT327, Spire Manchester Hospital (NT327) , * , 6 , -   , * , -   , 56 , -   , 16 , 56 , 63 , 245 , 14 , 786 , 35 , -   , -   , * , 31 , 24 , -   , * ,
NT350, Spire Methley Park Hospital (NT350) , * , 62 , * , -   , * , 181 , 369 , 15 , 104 , 55 , 395 , 47 ," 1,352 ", 467 , -   , -   , 6 , 94 , 36 , -   , 47 ,
NT364, Spire Montefiore Hospital (NT364) , 12 , 34 , 6 , * , -   , 45 , -   , -   , -   , -   , 317 , * , 486 , 53 , -   , -   , * , 92 , 10 , -   , 8 ,
NT325, Spire Murrayfield Hospital (NT325) , 12 , 64 , * , * , -   , 132 , 598 , 12 , 114 , 56 , 412 , 21 ," 1,325 ", 162 , -   , -   , * , 41 , 11 , -   , 12 ,
NT318, Spire Norwich Hospital (NT318) , -   , * , -   , -   , -   , * , -   , -   , -   , 83 , -   , -   ," 1,463 ", -   , -   , -   , -   , -   , 35 , -   , * ,
NT320, Spire Parkway Hospital (NT320) , -   , 35 , -   , * , -   , 127 , -   , -   , * , -   , 390 , 10 ," 1,565 ", 265 , -   , -   , * , 42 , 33 , -   , 36 ,
NT305, Spire Portsmouth Hospital (NT305) , -   , -   , -   , -   , -   , 44 , -   , -   , -   , -   , 70 , * ," 1,068 ", * , -   , -   , -   , -   , * , -   , * ,
NT339, Spire Regency Hospital (NT339) , * , 57 , 7 , -   , -   , 92 , -   , 21 , -   , 60 , 494 , 20 , 903 , 139 , -   , -   , * , 48 , 18 , -   , 32 ,
NT314, Spire Roding Hospital (NT314) , 11 , 185 , * , * , -   , 134 , -   , 28 , * , 96 , 542 , 160 ," 2,876 ", 465 , -   , -   , 10 , 60 , 16 , -   , 33 ,
NT301, Spire South Bank Hospital (NT301) , 8 , 66 , 8 , * , -   , 232 , -   , 10 , * , 68 , 843 , 18 , 992 , 226 , -   , -   , * , 93 , 17 , -   , 33 ,
NT304, Spire Southampton Hospital (NT304) , -   , 10 , -   , 170 , -   , 50 , 347 , -   , -   , * , 186 , * ," 1,348 ", 47 , -   , -   , 7 , 17 , 43 , -   , 9 ,
NT3X3, Spire St Anthony's Hospital (NT3X3) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , * , * , -   , -   , -   , -   , -   , -   , -   , -   ,
NT309, Spire Sussex Hospital (NT309) , -   , 21 , -   , -   , -   , 88 , -   , * , -   , 25 , 37 , 10 , 585 , 92 , -   , -   , * , 8 , 10 , -   , 8 ,
NT343, Spire Thames Valley Hospital (NT343) , -   , 6 , -   , * , -   , 9 , -   , * , -   , 11 , 66 , 9 , 123 , 46 , -   , -   , -   , 9 , 10 , -   , * ,
NT310, Spire Tunbridge Wells Hospital (NT310) , * , 38 , -   , * , -   , 27 , -   , -   , -   , 51 , 299 , 19 , 193 , 85 , -   , -   , -   , 45 , * , -   , 10 ,
NT333, Spire Washington Hospital (NT333) , 21 , 89 , 10 , -   , -   , 301 , * , 11 , 220 , 47 , 870 , 35 ," 2,917 ", 92 , -   , -   , * , 159 , 45 , -   , 24 ,
NT313, Spire Wellesley Hospital (NT313) , -   , 28 , -   , -   , -   , 305 , 207 , -   , -   , -   , 277 , 37 ," 3,607 ", 14 , -   , -   , * , * , 63 , -   , 21 ,
NT338, Spire Yale Hospital (NT338) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   ,
NVC18, Springfield Hospital (NVC18) , 18 , 92 , 19 , 10 , * , 118 ," 1,032 ", 17 , * , 173 ," 1,243 ", 42 ," 2,342 ", 801 , -   , -   , 11 , 194 , 26 , -   , 184 ,
NQ713, St Bartholomew's Hospital (Rochester) (NQ713) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 254 , -   , -   , -   ,
RJ7, St George's University Hospitals NHS Foundation Trust (RJ7) ," 2,897 "," 9,401 "," 1,944 "," 1,909 "," 1,451 "," 5,778 ", 338 , 887 ," 11,760 "," 7,413 "," 13,795 "," 2,357 "," 6,548 "," 7,553 "," 9,775 "," 1,130 "," 1,500 "," 15,040 "," 11,862 ", -   ," 12,180 ",
RBN, St Helens and Knowsley Hospital Services NHS Trust (RBN) ," 3,466 "," 9,889 "," 1,212 "," 1,191 "," 1,148 "," 1,498 "," 5,311 ", 457 ," 5,542 "," 7,877 "," 15,226 "," 4,779 "," 6,875 "," 6,717 "," 9,433 "," 1,449 ", 370 ," 15,887 "," 11,308 ", -   ," 6,611 ",
NTE02, St Hugh's Hospital (NTE02) , -   , 17 , -   , * , * , 42 , 609 , * , * , 13 , 600 , 12 ," 2,487 ", 366 , -   , -   , * , 410 , 263 , -   , -   ,
NLX01, St Martins Hospital (NLX01) , 6 , * , * , * , * , 7 , -   , * , 63 , 29 , 16 , * , * , 25 , -   , -   , -   , 67 , 92 , -   , 14 ,
NTPAD, St Mary's NHS Treatment Centre (NTPAD) , 62 , 276 , 43 , * , -   , 200 ," 1,817 ", -   , * , * ," 4,159 ", 77 , 209 , * , -   , -   , * , 381 , * , -   , 100 ,
R1E, Staffordshire and Stoke on Trent Partnership NHS Trust (R1E) , 44 , 391 , 265 , 81 , 42 , 621 , * , * , 382 , 340 , 54 , 110 ," 3,153 ", 179 , * , -   , 7 , 540 , 291 , -   , 46 ,
NHW01, Standard Health Ltd HQ (NHW01) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 138 , -   , -   , -   , -   , -   , * , -   , -   ,
RWJ, Stockport NHS Foundation Trust (RWJ) ," 2,752 "," 6,094 "," 1,859 ", 983 , 702 ," 1,607 "," 4,806 ", 518 ," 5,406 "," 6,568 "," 13,243 "," 1,622 "," 8,408 "," 6,653 "," 7,280 "," 1,157 ", 484 ," 8,649 "," 5,904 ", -   ," 5,736 ",
NAM09, Stratton Community Hospital (NAM09) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
NAM03, Stratton Medical Centre (NAM03) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * ,
RXX, Surrey and Borders Partnership NHS Foundation Trust (RXX) , -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 793 , -   , -   , -   ,
RTP, Surrey and Sussex Healthcare NHS Trust (RTP) ," 2,288 "," 4,834 "," 1,829 ", 884 , 588 ," 1,146 "," 5,410 ", 552 ," 4,472 "," 5,997 "," 14,980 "," 1,310 "," 4,865 "," 4,811 "," 6,241 "," 2,141 ", 184 ," 10,537 "," 5,669 ", -   ," 5,098 ",
RDR, Sussex Community NHS Foundation Trust (RDR) , 19 , 9 , -   , 10 , 10 , * , * , -   , 48 , 64 , 25 , 27 , 54 , 43 , -   , -   , -   ," 3,509 ", 142 , -   , 52 ,
AJX01, Sussex Msk Partnership 2 Ltd (AJX01) , * , 28 , 6 , * , -   , 250 , * , -   , 6 , * , 18 , 63 ," 2,826 ", -   , -   , -   , 16 , 22 , 358 , -   , 72 ,
RX2, Sussex Partnership NHS Foundation Trust (RX2) , -   , -   , -   , -   ," 1,099 ", * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 986 , -   , -   , -   ,
ACG05, Swindon Community Ophthalmology Service - Taw Hill (ACG05) , -   , -   , -   , -   , -   , -   , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG06, Swindon Community Ophthalmology Service - Tetbury (ACG06) , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   ,
RMP, Tameside And Glossop Integrated Care NHS Foundation Trust (RMP) ," 1,872 "," 3,008 "," 1,553 "," 1,204 ", 466 ," 1,013 ", 57 , 303 ," 2,818 "," 5,766 "," 10,084 "," 1,208 "," 4,904 "," 2,520 "," 3,914 "," 1,132 ", 121 ," 6,102 "," 3,275 ", -   ," 2,640 ",
RBA, Taunton and Somerset NHS Foundation Trust (RBA) ," 2,158 "," 15,127 "," 2,233 "," 1,203 ", 452 ," 2,159 "," 3,830 ", 531 ," 6,317 "," 5,644 "," 10,917 "," 1,933 "," 4,609 "," 5,387 "," 7,644 "," 1,205 ", 275 ," 12,052 "," 5,544 ", -   ," 7,256 ",
NR525, Tavistock Hospital (NR525) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 195 , -   , -   , -   ,
NVC35, Tees Valley Treatment Centre (NVC35) , 68 , 732 , 48 , 11 , 18 , 277 , * , 6 , 37 , * ," 3,079 ", 831 , 801 , 263 , -   , -   , 9 , 654 , 16 , -   , 410 ,
RX3," Tees, Esk and Wear Valleys NHS Foundation Trust (RX3) ", * , -   , -   , * ," 3,235 ", 271 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 525 , -   , -   ," 2,201 ",
AAH01, Tetbury Hospital Trust (AAH01) , 6 , 219 , -   , -   , -   , 32 , 240 , 6 , -   , * , 140 , 56 , 101 , 62 , -   , -   , -   , 101 , * , -   , * ,
NVC02, The Berkshire Independent Hospital (NVC02) , * , 36 , 8 , -   , -   , 76 , 399 , -   , * , -   , 603 , 13 , 895 , 197 , -   , -   , * , 93 , 22 , -   , 36 ,
RBV, The Christie NHS Foundation Trust (RBV) , 317 ," 14,233 "," 1,313 ", 624 , * , 145 , 32 , * , 284 , 443 , 549 , 282 , 218 , 440 , -   , -   , 20 , 885 , 389 , -   , 836 ,
REN, The Clatterbridge Cancer Centre NHS Foundation Trust (REN) , 222 ," 2,426 ", 259 , 72 , * , 137 , * , * , 20 , 75 , 62 , 19 , 14 , 76 , -   , -   , -   , 126 , 12 , -   , * ,
NTPAE, The Croft Shifa Health Centre (NTPAE) , -   , 26 , -   , -   , -   , 10 ," 1,092 ", -   , -   , -   , -   , * , * , -   , -   , -   , * , -   , -   , -   , -   ,
RNA, The Dudley Group NHS Foundation Trust (RNA) ," 3,278 "," 10,990 "," 2,094 "," 1,401 ", 663 ," 1,710 "," 5,733 ", 510 ," 6,203 "," 9,061 "," 12,517 "," 3,466 "," 11,921 "," 6,896 "," 14,465 "," 1,967 ", 419 ," 14,537 "," 6,751 ", -   ," 6,441 ",
RAS, The Hillingdon Hospitals NHS Foundation Trust (RAS) ," 2,111 "," 4,157 "," 1,563 ", 976 , 255 ," 1,038 "," 2,435 ", 78 ," 2,073 "," 3,655 "," 8,486 "," 1,329 "," 6,793 "," 3,488 "," 8,293 "," 1,706 ", 204 ," 6,516 "," 3,061 ", -   ," 4,707 ",
NXM01, The Horder Centre - St Johns Road (NXM01) , -   , 12 , -   , -   , -   , 216 , -   , -   , -   , -   , -   , 20 ," 5,223 ", * , -   , -   , 10 , 17 , 234 , -   , * ,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust (RTD) ," 3,338 "," 39,704 "," 4,754 "," 4,074 ", 854 ," 7,622 "," 12,665 "," 1,763 "," 13,620 "," 11,184 "," 25,766 "," 5,983 "," 16,958 "," 12,600 "," 9,279 "," 2,446 "," 3,863 "," 16,545 "," 14,122 ", -   ," 16,209 ",
NTP35, The Phoenix Centre (NTP35) , -   , -   , -   , -   , -   , -   , 190 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RQW, The Princess Alexandra Hospital NHS Trust (RQW) ," 1,147 "," 7,716 "," 1,597 "," 1,176 ", 246 , 770 ," 1,323 ", 306 ," 3,644 "," 4,367 "," 8,255 "," 1,168 "," 5,310 "," 4,180 "," 11,606 "," 1,063 ", 259 ," 6,274 "," 3,070 ", -   ," 6,037 ",
RCX," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust (RCX) "," 2,220 "," 12,053 "," 2,677 "," 1,235 ", 444 ," 1,235 "," 5,903 ", 432 ," 4,064 "," 5,184 "," 10,157 "," 2,021 "," 5,010 "," 5,905 "," 6,124 ", 981 , 162 ," 9,817 "," 4,422 ", -   ," 5,801 ",
RL1, The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust (RL1) , * , 466 , 14 , 16 , 6 ," 1,334 ", -   , -   , 23 , 30 , * , 176 ," 9,848 ", 28 , -   , * , 253 , 51 ," 1,734 ", -   , 466 ,
RFR, The Rotherham NHS Foundation Trust (RFR) ," 1,561 "," 6,333 "," 1,614 ", 676 , 261 , 923 ," 6,164 ", 327 ," 3,032 "," 5,248 "," 10,242 "," 1,318 "," 3,991 "," 5,986 "," 8,049 ", 724 , 119 ," 8,122 "," 4,376 ", -   ," 5,626 ",
RDZ, The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust (RDZ) ," 1,286 "," 19,377 "," 3,224 "," 1,599 ", 939 ," 2,179 "," 9,380 ", 106 ," 11,091 "," 4,457 "," 14,378 "," 1,870 "," 9,316 "," 7,440 ", 774 , -   , 130 ," 9,666 "," 4,708 ", -   ," 3,775 ",
RPY, The Royal Marsden NHS Foundation Trust (RPY) , 366 ," 14,611 "," 1,349 ", 343 , 7 , 27 , 18 , * , 101 , 331 ," 1,364 ", 143 , 64 , 678 , -   , * , 13 , 575 , 360 , -   ," 2,296 ",
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust (RRJ) , * ," 1,762 ", 6 , * , * ," 1,179 ", -   , -   , * , * , * , 44 ," 9,204 ", -   , -   , -   , 283 , 10 ," 1,256 ", -   , 224 ,
RL4, The Royal Wolverhampton NHS Trust (RL4) ," 3,221 "," 25,242 "," 2,799 "," 1,634 ", 631 ," 1,875 "," 4,917 ", 512 ," 8,294 "," 7,171 "," 15,205 "," 1,957 "," 13,192 "," 6,287 "," 10,813 "," 2,212 ", 408 ," 11,109 "," 6,346 ", -   ," 6,808 ",
NN801, The Spencer Wing (Ramsgate Road) (NN801) , * , 42 , * , * , -   , 14 , -   , 35 , * , 54 , 252 , 17 ," 1,108 ", 295 , -   , -   , * , 113 , 21 , -   , 25 ,
NN802, The Spencer Wing (William Harvey Hospital) (NN802) , -   , -   , -   , * , -   , * , -   , -   , -   , -   , * , -   , 101 , 38 , -   , -   , * , 9 , -   , -   , * ,
RET, The Walton Centre NHS Foundation Trust (RET) , 21 , 685 , 43 , 27 , 33 ," 4,115 ", 64 , * , 735 , 6 , 15 , 8 ," 4,090 ", 39 , * , -   , 179 , 806 , 645 , -   , 78 ,
NVC44, The Westbourne Centre (NVC44) , * , 44 , -   , * , -   , 39 , 547 , -   , 36 , * , 738 , 63 , 60 , * , -   , -   , * , * , 6 , -   , 15 ,
RKE, The Whittington Hospital NHS Trust (RKE) ," 1,429 "," 4,495 "," 3,170 "," 1,005 ", 297 , 513 , 31 , 41 ," 1,155 "," 2,678 "," 7,752 "," 1,013 "," 2,652 "," 3,208 "," 5,299 "," 1,656 ", 139 ," 4,391 "," 2,518 ", -   ," 3,825 ",
NVC20, The Yorkshire Clinic (NVC20) , 82 , 434 , 45 , * , 24 , 438 ," 1,650 ", 59 , 35 , 193 ," 2,645 ", 402 ," 4,723 ", 966 , * , -   , 20 , 857 , 75 , -   , 323 ,
NLX22, Thornbury Hospital (NLX22) , * , 8 , * , * , * , * , * , * , 11 , 34 , 7 , 9 , 8 , 13 , -   , -   , -   , 59 , 44 , -   , 12 ,
RA9, Torbay and South Devon NHS Foundation Trust (RA9) ," 2,315 "," 12,115 "," 1,749 "," 1,315 ", 669 ," 1,739 "," 3,013 ", 483 ," 4,999 "," 5,764 "," 9,550 "," 1,292 "," 5,235 "," 4,079 "," 5,330 ", 574 , 151 ," 12,703 "," 5,838 ", -   ," 5,450 ",
NN501, Trafford General Hospital (NN501) , 9 , 18 , 10 , -   , -   , 140 , -   , 29 , * , 122 , 83 , * , 262 , -   , -   , -   , -   , 26 , * , -   , * ,
NN401, Tyneside Surgical Services (NN401) , 21 , 79 , 11 , * , -   , 25 , * , -   , * , -   , 371 , 26 , 961 , 88 , -   , -   , * , 80 , 22 , -   , 37 ,
RWD, United Lincolnshire Hospitals NHS Trust (RWD) ," 3,284 "," 26,589 "," 3,333 "," 2,109 ", 541 ," 2,424 "," 5,342 ", 588 ," 8,547 "," 9,407 "," 18,408 "," 3,090 "," 12,607 "," 8,102 "," 10,984 "," 1,631 ", 360 ," 14,967 "," 8,672 ", -   ," 8,581 ",
RRV, University College London Hospitals NHS Foundation Trust (RRV) ," 1,656 "," 46,373 "," 7,148 "," 2,717 "," 1,194 "," 8,392 ", 259 ," 1,742 "," 4,364 "," 7,928 "," 22,822 "," 2,842 "," 10,073 "," 8,416 "," 8,813 "," 4,238 "," 1,211 "," 13,390 "," 5,930 ", -   ," 6,215 ",
RM2, University Hospital of South Manchester NHS Foundation Trust (RM2) ," 3,206 "," 10,160 "," 1,312 "," 1,653 ", 757 ," 1,925 ", 98 , 446 ," 11,259 "," 10,122 "," 12,863 "," 2,432 "," 8,288 "," 7,284 "," 6,464 "," 2,568 ", 590 ," 8,273 "," 9,200 ", -   ," 6,660 ",
