"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJZ, King's College Hospital NHS Foundation Trust ," 2,102 "," 10,853 "," 3,149 "," 3,850 ", 588 ," 3,003 "," 3,805 ", 127 ," 9,373 "," 3,961 "," 19,352 "," 2,445 "," 4,971 "," 5,629 "," 15,447 "," 1,180 "," 1,001 "," 9,471 "," 6,533 "," 11,781 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAX, Kingston Hospital NHS Trust ," 1,281 "," 3,241 ", 634 , 656 , 237 , 706 ," 2,318 ", 251 ," 3,223 "," 3,654 "," 7,043 "," 1,253 "," 4,401 "," 3,824 "," 13,729 "," 1,283 ", 140 ," 4,347 "," 2,920 "," 10,417 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A5, Kingston PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 152 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ2, Lewisham Healthcare NHS Trust ," 1,694 "," 4,447 "," 1,611 ", 840 , 366 , 732 , 83 , 753 ," 2,598 "," 4,471 "," 5,999 "," 1,537 "," 3,638 "," 3,542 "," 10,687 "," 1,109 ", 565 ," 4,793 "," 3,354 "," 5,821 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP6-X, Moorfields Eye Hospital NHS Foundation Trust , 15 , 594 , * , 48 , -   , 8 ," 26,643 ", * , 7 , -   , * , 80 , 11 , -   , -   , -   , 554 , 16 , 718 , 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C5, Newham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT, North East London NHS Foundation Trust , 18 , 27 , 7 , 20 ," 1,487 ", 98 , * , * , 126 , 78 , 30 , 51 , 106 , 65 , -   , -   , -   , 634 , 255 , 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP15, North East London Treatment Centre Care Uk , 43 , 252 , 30 , * , -   , 256 , 820 , -   , 550 , 13 ," 2,227 ", 175 ," 1,681 ", * , -   , -   , * , 201 , 41 , 44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP, North Middlesex University Hospital NHS Trust ," 1,585 "," 8,118 "," 3,303 ", 849 , 283 , 575 ," 1,206 ", 40 ," 2,642 "," 2,094 "," 4,949 ", 722 ," 3,089 "," 3,010 "," 5,550 "," 1,535 ", 165 ," 4,069 "," 1,944 "," 3,995 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV8, North West London Hospitals NHS Trust ," 3,211 "," 8,685 "," 2,693 "," 1,988 ", 470 ," 1,439 "," 2,017 ", 653 ," 7,164 "," 6,606 "," 14,958 "," 1,998 "," 6,173 "," 7,580 "," 10,999 "," 2,412 ", 340 ," 13,021 "," 6,398 "," 8,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG, Oxleas NHS Foundation Trust , -   , -   , -   , -   ," 2,532 ", 45 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 119 , -   , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M6, Richmond and Twickenham PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT3, Royal Brompton and Harefield NHS Foundation Trust , 228 ," 1,458 "," 1,456 "," 2,187 ", 6 ," 3,019 ", * , * ," 11,417 "," 7,034 ", 95 , 49 , 158 , 15 , * , 11 ," 1,957 "," 3,479 ", 543 ," 1,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL, Royal Free London NHS Foundation Trust ," 2,099 "," 5,423 "," 1,557 "," 1,478 ", 376 ," 1,291 "," 4,451 ", 195 ," 4,960 "," 3,027 "," 7,895 "," 2,302 "," 3,458 "," 4,147 "," 4,400 ", 508 , 595 ," 8,492 "," 6,532 "," 6,799 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN, Royal National Orthopaedic Hospital NHS Trust , 14 ," 1,626 ", -   , 10 , * ," 1,207 ", -   , -   , 8 , * , 8 , 79 ," 9,474 ", 274 , -   , 69 , 560 , 605 ," 1,753 ", 151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5, South London and Maudsley NHS Foundation Trust , -   , -   , -   , * ," 6,994 ", * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 309 , * , 190 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYQ, South London Healthcare NHS Trust ," 3,522 "," 19,977 "," 2,831 "," 2,425 ", 778 ," 2,714 "," 6,442 ", 630 ," 7,669 "," 7,575 "," 19,566 "," 3,716 "," 11,998 "," 13,053 "," 18,395 "," 3,032 ", 356 ," 19,482 "," 7,413 "," 17,694 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQY, South West London and St George's Mental Health NHS Trust , -   , -   , -   , * ," 1,815 ", 7 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , 44 , 11 , 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT314, Spire Roding Hospital , * , 51 , -   , * , -   , 17 , -   , 37 , 57 , 123 , 330 , 42 , 449 , 260 , -   , -   , 7 , 44 , 8 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ7, St George's Healthcare NHS Trust ," 1,671 "," 7,953 "," 1,317 "," 1,612 ", 653 ," 4,697 ", 291 , 706 ," 11,029 "," 5,805 "," 10,642 "," 1,738 "," 4,804 "," 10,596 "," 9,923 ", 813 ," 1,384 "," 11,055 "," 9,530 "," 9,340 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS, The Hillingdon Hospitals NHS Foundation Trust ," 1,726 "," 3,925 "," 1,220 ", 921 , 397 ," 1,175 "," 2,131 ", 71 ," 2,509 "," 2,931 "," 6,813 "," 1,147 "," 6,580 "," 4,143 "," 6,902 "," 1,151 ", 174 ," 7,513 "," 3,487 "," 4,675 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY, The Royal Marsden NHS Foundation Trust , 229 ," 15,047 "," 1,143 ", 202 , * , 16 , * , * , 85 , 261 , 877 , 159 , 43 , 417 , * , -   , 14 , 523 , 208 ," 2,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKE, The Whittington Hospital NHS Trust ," 1,162 "," 3,899 "," 3,048 ", 894 , 478 , 554 , 101 , 77 ," 1,631 "," 2,529 "," 5,649 ", 982 ," 4,108 "," 3,875 "," 8,480 "," 1,067 ", 145 ," 5,487 "," 3,091 "," 5,762 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRV, University College London Hospitals NHS Foundation Trust ," 2,281 "," 32,949 "," 5,101 "," 2,341 ", 995 ," 13,534 ", 748 ," 1,227 "," 8,563 "," 5,572 "," 16,424 "," 1,337 "," 8,289 "," 6,838 "," 9,815 "," 3,564 "," 1,424 "," 9,527 "," 4,543 "," 9,204 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LG, Wandsworth PCT , 13 , 16 , 20 , 21 , 29 , 42 , -   , -   , 121 , 75 , 29 , 16 , 49 , 64 , -   , * , * , 54 , 166 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKL, West London Mental Health NHS Trust , -   , -   , -   , -   ," 1,062 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 98 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFW, West Middlesex University Hospital NHS Trust ," 1,378 "," 1,297 ", 559 , 521 , 530 , 542 , 51 , 288 ," 1,802 "," 3,481 "," 6,032 ", 990 ," 2,814 "," 2,994 "," 6,705 "," 1,121 ", 223 ," 7,091 "," 3,648 "," 4,658 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNV01, Your Healthcare (Hollyfield House) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 542 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30, NORTH EAST STRATEGIC HEALTH AUTHORITY ," 25,678 "," 125,561 "," 18,199 "," 14,956 "," 9,290 "," 21,855 "," 47,111 "," 5,727 "," 56,516 "," 56,669 "," 112,005 "," 21,444 "," 74,276 "," 52,587 "," 58,725 "," 10,223 "," 6,658 "," 104,934 "," 60,241 "," 66,317 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT457, BMI - Woodlands Hospital , 6 , 75 , * , * , -   , 80 , 363 , * , 64 , 27 , 242 , 35 ," 1,247 ", 415 , -   , -   , 6 , 57 , 32 , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN, City Hospitals Sunderland NHS Foundation Trust ," 2,677 "," 14,406 "," 2,508 "," 3,015 ", 807 ," 3,034 "," 19,116 "," 1,245 "," 6,686 "," 7,487 "," 11,812 "," 1,857 "," 7,297 "," 8,787 "," 6,669 ", 717 , 421 ," 13,175 "," 6,861 "," 8,802 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC29, Cobalt NHS Treatment Centre , 101 , 498 , 15 , * , * , 68 , * , * , 438 , -   ," 1,905 ", 637 , 262 , * , -   , -   , * , 179 , * , 21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP, County Durham and Darlington NHS Foundation Trust ," 4,278 "," 13,799 "," 2,223 "," 1,585 ", 719 ," 2,037 "," 7,593 ", 832 ," 7,931 "," 9,719 "," 16,336 "," 4,251 "," 9,181 "," 6,375 "," 11,737 "," 2,138 ", 576 ," 17,260 "," 10,749 "," 8,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7-X, Gateshead Health NHS Foundation Trust ," 2,408 "," 7,589 "," 1,300 ", 906 , 474 , 782 , 39 , 100 ," 3,178 "," 4,303 "," 7,316 "," 1,079 "," 4,546 "," 3,826 "," 2,652 ", 914 , 96 ," 8,145 "," 3,814 "," 3,995 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVW, North Tees and Hartlepool NHS Foundation Trust ," 2,547 "," 10,688 "," 2,283 "," 1,118 ", 420 ," 1,062 ", 51 , 109 ," 3,797 "," 5,172 "," 12,148 "," 1,059 "," 6,719 "," 5,370 "," 6,087 ", 896 , 159 ," 12,895 "," 5,042 "," 6,187 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4," Northumberland, Tyne and Wear NHS Foundation Trust ", -   , -   , -   , * ," 1,588 ", 12 , -   , * , * , -   , -   , -   , -   , -   , -   , -   , * ," 1,863 ", * , 60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTF, Northumbria Healthcare NHS Foundation Trust ," 3,971 "," 14,784 "," 1,977 "," 1,815 "," 1,416 "," 2,519 ", 153 , 177 ," 7,298 "," 7,131 "," 16,621 "," 1,592 "," 11,370 "," 7,319 "," 6,696 "," 1,324 ", 167 ," 11,294 "," 7,872 "," 7,633 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT229," Nuffield Health, Newcastle-Upon-Tyne Hospital ", 26 , 15 , -   , -   , -   , -   , -   , -   , 6 , -   , 201 , -   , 206 , -   , -   , -   , -   , 38 , 10 , 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT237," Nuffield Health, Tees Hospital ", 37 , 315 , 10 , 43 , -   , 109 ," 1,231 ", 8 , 10 , * , 617 , 222 ," 1,318 ", -   , -   , -   , * , 140 , 74 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTR, South Tees Hospitals NHS Foundation Trust ," 4,561 "," 21,506 "," 2,587 "," 2,486 ", 549 ," 4,340 "," 7,253 "," 1,315 "," 10,285 "," 9,792 "," 15,536 "," 3,143 "," 11,290 "," 7,913 "," 10,468 "," 1,586 ", 987 ," 16,124 "," 10,346 "," 8,802 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
