"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNZ, Salisbury NHS Foundation Trust , 641 ," 4,114 ", 522 , 382 , 131 , 829 ," 1,448 ", 261 ," 3,729 "," 2,309 "," 6,808 "," 1,538 "," 4,925 "," 3,422 "," 6,166 "," 1,113 ", 573 ," 6,631 "," 5,664 "," 3,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC01, Shepton Mallet NHS Treatment Centre , 12 , 133 , 48 , * , -   , 414 ," 1,560 ", 229 , 59 , 370 ," 1,746 ", 182 ," 2,300 ", 137 , -   , * , 6 , 328 , 78 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH5, Somerset Partnership NHS Foundation Trust , 30 , 334 , 93 , 57 , 883 , 77 , 6 , 6 , 287 , 217 , 112 , 155 , 353 , 219 , 13 , * , * , 627 , 484 , 131 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QL, Somerset PCT , 38 , 162 , 41 , 60 , 18 , 88 , -   , -   , 218 , 115 , 85 , 72 , 220 , 155 , -   , * , * , 232 , 393 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA9, South Devon Healthcare NHS Foundation Trust , 890 ," 9,658 "," 1,168 ", 931 , 355 ," 1,207 "," 2,577 ", 605 ," 4,103 "," 3,312 "," 9,151 ", 940 ," 4,636 "," 3,256 "," 4,513 ", 747 , 237 ," 6,407 "," 4,968 "," 4,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT302, Spire Bristol Hospital , -   , 24 , -   , -   , -   , -   , -   , -   , 100 , -   , * , * , 312 , 114 , -   , -   , * , 11 , 8 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLL13, St Austell Community Hospital , * , 18 , * , * , 6 , 9 , -   , -   , 17 , 27 , 8 , 12 , 17 , 41 , -   , -   , -   , 24 , 50 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLL08, St Barnabas Hospital , -   , 11 , * , -   , * , * , -   , * , 10 , 8 , -   , -   , * , 6 , -   , -   , -   , 6 , 16 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLL21, St Mary's Hospital , -   , 7 , * , * , * , -   , -   , -   , 6 , 13 , 6 , * , * , 6 , -   , -   , -   , 20 , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K3, Swindon PCT , * , 13 , -   , * , * , 11 , -   , -   , 88 , 43 , 14 , 12 , 23 , 31 , -   , -   , -   , 30 , 110 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBA, Taunton and Somerset NHS Foundation Trust ," 1,107 "," 11,868 "," 1,134 "," 1,156 ", 302 ," 1,657 "," 3,384 ", 511 ," 6,222 "," 3,925 "," 8,855 "," 1,536 "," 5,159 "," 3,965 "," 9,364 "," 1,209 ", 259 ," 11,465 "," 5,375 "," 7,031 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTY48, Tetbury Hospital , 8 , 92 , -   , -   , -   , 9 , * , * , -   , * , -   , 38 , 70 , 34 , -   , -   , -   , * , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDZ, The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , 652 ," 17,281 "," 2,158 "," 1,695 ", 630 ," 2,187 "," 8,899 ", 55 ," 10,647 "," 2,961 "," 10,810 "," 1,074 "," 10,619 "," 5,069 "," 1,055 ", -   , 101 ," 13,364 "," 3,461 "," 5,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAL, Torbay Care Trust , 58 , 328 , 179 , 72 , 45 , 82 , * , * , 564 , 521 , 236 , 204 , 299 , 303 , * , -   , * , 372 , 986 , 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA7, University Hospitals Bristol NHS Foundation Trust ," 1,624 "," 21,626 "," 2,261 "," 3,709 ", 544 ," 1,714 "," 7,302 ", 797 ," 8,445 "," 5,458 "," 12,356 "," 1,815 "," 3,140 "," 5,097 "," 13,559 "," 3,609 "," 2,441 "," 12,638 "," 7,571 "," 11,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA3, Weston Area Health NHS Trust , 272 ," 5,279 ", 594 , 452 , 125 , 455 , 17 , 34 ," 1,752 "," 1,708 "," 3,761 ", 436 ," 1,626 "," 2,221 "," 1,480 ", 235 , 25 ," 3,601 "," 1,877 "," 4,031 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QK, Wiltshire PCT , * , 15 , -   , 6 , -   , 13 , -   , -   , 27 , 19 , 10 , 8 , 10 , 24 , 958 , 460 , * , 10 , 65 , 647 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC22, Winfield Hospital , * , 45 , 28 , 6 , * , 98 , 12 , * , 29 , 55 , 747 , 25 , 768 , 298 , * , -   , 6 , 393 , 130 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA4, Yeovil District Hospital NHS Foundation Trust , 502 ," 5,186 ", 652 , 732 , 204 , 723 ," 1,374 ", 81 ," 2,591 "," 1,673 "," 5,908 ", 769 ," 3,023 "," 2,339 "," 2,793 ", 350 , 76 ," 4,132 "," 3,239 "," 3,557 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q34, WEST MIDLANDS STRATEGIC HEALTH AUTHORITY ," 22,284 "," 201,681 "," 25,384 "," 24,332 "," 17,225 "," 35,396 "," 56,403 "," 9,178 "," 98,479 "," 89,105 "," 179,255 "," 29,561 "," 139,619 "," 98,284 "," 158,666 "," 29,858 "," 13,364 "," 174,902 "," 106,009 "," 113,941 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT, Birmingham and Solihull Mental Health NHS Foundation Trust , -   , -   , -   , -   ," 1,420 ", 16 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 19 , * , 488 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3, Birmingham Children's Hospital NHS Foundation Trust ," 1,487 "," 4,473 "," 1,819 "," 1,531 ", 459 ," 1,142 ", 426 , 974 , * ," 3,629 "," 3,453 ", 853 , 816 , 982 , * , 659 ," 4,938 "," 3,734 "," 4,036 "," 1,342 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYW, Birmingham Community Healthcare NHS Trust , 26 , 164 , 29 , 39 , 119 , 317 , 6 , * , 327 , 149 ," 2,160 ", 50 , 232 , 186 , * , -   , 108 , 310 , 476 , 408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXKTC, Birmingham Treatment Centre , 36 ," 5,917 ", 116 , 83 , 17 , 207 , 6 , 286 , 354 , 748 ," 1,997 ", 339 ," 2,104 "," 1,922 ", * , * , 117 , 935 , 387 , 720 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU, Birmingham Women's NHS Foundation Trust , 6 , 537 , * , 15 , * , * , * , -   , * , * , 20 , 29 , 12 ," 2,350 "," 10,472 "," 3,798 ", 222 ," 1,235 ", 77 ," 4,161 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ, Black Country Partnership NHS Foundation Trust , -   , -   , -   , -   , 812 , 26 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , 66 , * , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT412, BMI - The Droitwich Spa Hospital , -   , 60 , * , * , * , 158 , 8 , 11 , 148 , 70 , 371 , 24 , 625 , 259 , -   , -   , * , 101 , 9 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT445, BMI The Edgbaston Hospital , * , 30 , 9 , -   , -   , 73 , * , -   , 111 , -   , 405 , 20 , 550 , 133 , -   , -   , -   , 62 , * , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT424, BMI - The Meriden Hospital , -   , 32 , * , -   , * , 76 , 7 , 6 , 38 , 61 , 118 , 17 , 960 , 147 , -   , -   , * , 54 , * , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT429, BMI - The Priory Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF, Burton Hospitals NHS Foundation Trust , 748 ," 7,921 "," 1,051 ", 764 , 327 ," 1,013 "," 2,058 ", 550 ," 2,851 "," 3,790 "," 7,506 "," 1,147 "," 3,594 "," 4,035 "," 8,611 ", 985 , 385 ," 7,025 "," 3,797 "," 5,246 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJDTC, Cannock Chase Treatment Centre , -   , 20 , -   , * , -   , 295 , 887 , -   , * , -   , -   , 37 ," 3,037 ", -   , -   , -   , * , 8 , 173 , 97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYG, Coventry and Warwickshire Partnership NHS Trust , -   , -   , -   , -   , 77 , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 7 , -   , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYK, Dudley and Walsall Mental Health Partnership NHS Trust , -   , -   , -   , * ," 1,056 ", 24 , -   , * , * , -   , -   , * , -   , -   , -   , -   , -   , 21 , -   , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT, George Eliot Hospital NHS Trust , 374 ," 2,446 ", 372 , 443 , 399 , 673 ," 1,007 ", 38 ," 2,322 "," 1,799 "," 5,778 ", 721 ," 3,304 "," 3,322 "," 3,465 ", 443 , 88 ," 4,228 "," 2,894 "," 3,639 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1-X, Heart of England NHS Foundation Trust ," 3,275 "," 23,046 "," 3,603 "," 4,232 "," 1,797 "," 3,882 "," 7,909 ", 869 ," 13,658 "," 13,570 "," 21,565 "," 3,449 "," 11,063 "," 12,664 "," 35,098 "," 4,103 ", 646 ," 29,023 "," 11,572 "," 17,189 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CN, Herefordshire PCT , -   , 14 , * , * , * , * , -   , -   , 33 , 23 , 19 , * , 30 , 22 , -   , -   , -   , 64 , 51 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD-X, Mid Staffordshire NHS Foundation Trust ," 1,195 "," 9,031 "," 1,233 ", 815 , 282 , 744 , 46 , 335 ," 2,888 "," 3,606 "," 6,085 "," 1,323 "," 4,761 "," 4,507 "," 5,854 ", 831 , 155 ," 6,506 "," 3,574 "," 3,982 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY, North Staffordshire Combined Healthcare NHS Trust , -   , -   , -   , -   ," 1,470 ", 123 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PH, North Staffordshire PCT , * , 91 , 57 , 10 , 24 , 16 , -   , -   , 50 , 56 , 16 , 14 , 40 , 28 , -   , -   , * , 291 , 117 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT219," Nuffield Health, Hereford Hospital ", -   , 16 , -   , * , * , * , -   , * , 16 , 27 , 115 , * , 145 , 43 , -   , -   , -   , 9 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT230," Nuffield Health, North Staffordshire Hospital ", * , 73 , -   , * , -   , 66 , 155 , -   , * , -   , 439 , 29 ," 1,502 ", 146 , -   , -   , 6 , 24 , 19 , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
