"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RD1, Royal United Hospitals Bath NHS Foundation Trust - (RD1) ," 3,105 "," 10,655 "," 2,655 "," 1,615 ", 710 ," 1,920 "," 1,900 ", 520 ," 5,160 "," 7,360 "," 10,860 "," 1,565 "," 6,375 "," 3,860 "," 7,250 "," 1,715 ", 285 ," 14,700 "," 7,805 ", 70 ," 6,000 ",
RM3, Salford Royal NHS Foundation Trust - (RM3) ," 1,970 "," 8,445 "," 3,480 "," 3,455 "," 1,425 "," 8,540 ", 150 , 360 ," 5,570 "," 6,090 "," 12,825 "," 2,850 "," 10,255 "," 5,410 "," 2,885 ", 85 , 175 ," 12,080 "," 7,780 ", 115 ," 3,450 ",
RNZ, Salisbury NHS Foundation Trust - (RNZ) ," 1,475 "," 4,735 ", 970 , 925 , 225 ," 1,225 "," 1,955 ", 420 ," 3,250 "," 3,575 "," 9,450 "," 2,135 "," 4,515 "," 3,185 "," 6,420 ", 785 , 345 ," 8,020 "," 5,145 ", 10 ," 4,380 ",
RXK-X, Sandwell And West Birmingham Hospitals NHS Trust - (RXK-X) ," 3,340 "," 6,310 "," 3,660 "," 1,935 ", 920 ," 1,415 "," 8,570 ", 435 ," 6,065 "," 9,250 "," 8,615 "," 3,660 "," 6,190 "," 4,680 "," 8,025 "," 2,825 ", 310 ," 11,170 "," 6,680 ", 175 ," 4,175 ",
AXG02, Savernake Community Hospital - (AXG02) , 15 , * , -   , * , * , 10 , -   , -   , 15 , 65 , 10 , 10 , 30 , 20 , * , -   , -   , 75 , 135 , -   , -   ,
RCU, Sheffield Children's NHS Foundation Trust - (RCU) , 850 ," 2,095 ", 655 , 500 , 160 ," 1,410 ", 370 , 480 , 60 ," 1,755 "," 3,995 ", 645 ," 1,740 "," 1,095 ", -   , 335 ," 1,835 "," 1,865 "," 2,330 ", -   ," 2,395 ",
RHQ, Sheffield Teaching Hospitals NHS Foundation Trust - (RHQ) ," 4,120 "," 54,365 "," 6,240 "," 4,850 "," 1,510 "," 8,975 "," 9,225 ", 865 ," 18,055 "," 11,395 "," 31,480 "," 5,335 "," 15,375 "," 8,510 "," 20,285 "," 2,885 "," 1,060 "," 18,390 "," 12,180 ", 120 ," 14,335 ",
NDAJ1, Sheppey Community Hospital - (NDAJ1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 210 , -   , -   , -   ,
NTPH1, Shepton Mallet NHS Treatment Centre - (NTPH1) , 35 , 75 , 25 , * , -   , 290 ," 1,180 ", * , * , 130 ," 1,485 ", 10 ," 2,190 ", 240 , -   , -   , 10 , 265 , 85 , -   , 125 ,
RK5, Sherwood Forest Hospitals NHS Foundation Trust - (RK5) ," 3,180 "," 9,275 "," 2,835 "," 1,855 ", 740 ," 1,510 "," 2,580 ", 470 ," 5,050 "," 7,370 "," 12,090 "," 2,700 "," 6,595 "," 5,090 "," 9,640 "," 1,255 ", 195 ," 14,015 "," 5,355 ", 60 ," 6,140 ",
RXW, Shrewsbury And Telford Hospital NHS Trust - (RXW) ," 3,170 "," 28,870 "," 3,415 "," 3,575 ", 560 ," 2,060 "," 3,785 ", 595 ," 8,990 "," 10,905 "," 21,340 "," 2,175 "," 4,125 "," 8,780 "," 5,810 "," 1,850 ", 380 ," 15,525 "," 7,485 ", 80 ," 6,965 ",
R1D, Shropshire Community Health NHS Trust - (R1D) , 20 , 60 , 10 , 35 , 25 , 80 , * , * , 135 , 210 , 780 , 70 , 235 , 180 , -   , -   , -   , 470 , 415 , -   , 50 ,
NDAJ2, Sittingbourne Memorial Hospital - (NDAJ2) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 140 , -   , -   , -   ,
R1C, Solent NHS Trust - (R1C) , 15 , 50 , * , 10 , 20 , 60 , * , * , 100 , 120 , 40 , 35 , 110 , 85 , -   , -   , -   , 165 , 285 , -   , -   ,
RH5, Somerset Partnership NHS Foundation Trust - (RH5) , 30 , 120 , * , 20 , 805 , 65 , -   , * , 375 , 130 , 40 , 85 , 325 , 80 , -   , -   , * , 770 , 595 , * , 35 ,
NFH01, Somerset Surgical Services - (NFH01) , * , 270 , * , -   , -   , 40 , 545 , * , -   , -   , 425 , 130 , 275 , * , -   , -   , * , * , 15 , -   , * ,
NR526, South Hams (Kingsbridge) Hospital - (NR526) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 285 , -   , -   , -   ,
RTR, South Tees Hospitals NHS Foundation Trust - (RTR) ," 4,940 "," 23,685 "," 3,970 "," 3,640 ", 810 ," 4,295 "," 5,145 "," 1,025 "," 10,245 "," 10,590 "," 18,315 "," 5,290 "," 11,055 "," 7,770 "," 7,730 "," 1,760 ", 890 ," 11,995 "," 9,200 ", 140 ," 6,690 ",
R0B, South Tyneside And Sunderland NHS Foundation Trust - (R0B) ," 5,110 "," 22,370 "," 3,290 "," 3,825 "," 1,280 "," 2,685 "," 14,250 "," 1,190 "," 9,015 "," 11,895 "," 18,675 "," 3,095 "," 10,400 "," 8,870 "," 6,120 "," 1,385 ", 545 ," 12,060 "," 8,635 ", 100 ," 6,980 ",
RJC, South Warwickshire NHS Foundation Trust - (RJC) ," 1,935 "," 11,890 ", 910 ," 1,700 ", 350 ," 1,055 "," 2,465 ", 370 ," 3,065 "," 4,450 "," 8,280 "," 1,065 "," 5,445 "," 4,480 "," 4,405 "," 1,895 ", 165 ," 7,115 "," 3,880 ", 70 ," 3,420 ",
RQY, South West London And St George's Mental Health NHS Trust - (RQY) , -   , -   , -   , -   , 845 , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   , 115 , -   , -   , * ,
RXG, South West Yorkshire Partnership NHS Foundation Trust - (RXG) , -   , * , -   , * ," 1,430 ", 60 , -   , -   , 70 , -   , -   , -   , -   , -   , -   , -   , -   , 495 , 15 , -   , 10 ,
NTP11, Southampton NHS Treatment Centre - (NTP11) , 40 , 420 , 35 , * , 30 , 105 ," 1,420 ", 110 , * , 350 ," 6,370 ", 275 ," 2,015 "," 1,075 ", -   , -   , 15 ," 1,000 ", 185 , -   , 170 ,
RAJ, Southend University Hospital NHS Foundation Trust - (RAJ) ," 2,040 "," 21,325 "," 2,530 "," 2,215 ", 535 ," 2,010 "," 4,860 ", 445 ," 6,360 "," 6,705 "," 10,550 "," 2,460 "," 7,275 "," 5,530 "," 5,955 "," 1,220 ", 260 ," 12,455 "," 5,105 ", 55 ," 4,955 ",
RW1, Southern Health NHS Foundation Trust - (RW1) , 210 , 480 , 475 , 145 ," 2,175 ", 180 , * , 15 , 435 , 715 ," 1,685 ", 190 , 405 , 375 , * , -   , 10 ," 1,915 ", 680 , * , 400 ,
RVY, Southport And Ormskirk Hospital NHS Trust - (RVY) ," 2,620 "," 5,105 "," 2,535 "," 2,015 ", 670 ," 1,045 "," 2,215 ", 210 ," 2,975 "," 5,190 "," 8,075 "," 1,410 "," 4,315 "," 2,970 "," 3,375 "," 1,075 ", 95 ," 7,535 "," 4,465 ", 20 ," 3,080 ",
NPG05, Spamedica - Newton-Le-Willows - (NPG05) , -   , -   , -   , -   , -   , -   ," 1,145 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,
NPG13, Spamedica - Skelmersdale - (NPG13) , -   , -   , -   , -   , -   , -   ," 3,485 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * ,
NPG02, Spamedica (Birkenhead) - (NPG02) , -   , -   , -   , -   , -   , -   ," 4,500 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * ,
NPG11, Spamedica (Birmingham) - (NPG11) , -   , -   , -   , -   , -   , -   ," 7,215 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 20 ,
NPG08, Spamedica (Bolton) - (NPG08) , -   , -   , -   , -   , -   , -   ," 6,990 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , * ,
NPG01, Spamedica (Manchester) - (NPG01) , -   , -   , -   , -   , -   , -   ," 7,655 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 10 , -   , * ,
NPG10, Spamedica (Sheffiled) - (NPG10) , -   , -   , -   , -   , -   , -   ," 5,790 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , 20 ,
NPG19, Spamedica Bedford - (NPG19) , -   , -   , -   , -   , -   , -   , 345 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NPG16, Spamedica Chelmsford - (NPG16) , -   , -   , -   , -   , -   , -   ," 2,150 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 10 ,
NPG12, Spamedica Eccleshill Treatment Centre - (NPG12) , -   , -   , -   , -   , -   , -   ," 2,220 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , * ,
NPG07, Spamedica Eye Hospital (Wakefield) - (NPG07) , -   , -   , -   , -   , -   , -   ," 6,480 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 10 , -   , * ,
NPG18, Spamedica Hull - (NPG18) , -   , -   , -   , -   , -   , -   , 900 , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * ,
NPG06, Spamedica Liverpool - (NPG06) , -   , -   , -   , -   , -   , -   ," 2,285 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , * ,
NPG15, Spamedica Newcastle-Under-Lyme - (NPG15) , -   , -   , -   , -   , -   , -   ," 1,670 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , * ,
NPG17, Spamedica Preston - (NPG17) , -   , -   , -   , -   , -   , -   , 445 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NPG14, Spamedica Widnes - (NPG14) , -   , -   , -   , -   , -   , -   ," 1,615 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * ,
NPG20, Spamedica Wolverhampton - (NPG20) , -   , -   , -   , -   , -   , -   , 430 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NN802, Spencer Private Hospitals - Ashford - (NN802) , -   , * , -   , * , * , * , -   , 15 , -   , 45 , * , * , 175 , * , -   , -   , -   , * , * , -   , * ,
NN801, Spencer Private Hospitals - Margate - (NN801) , * , 75 , * , -   , * , 15 , -   , * , 10 , 10 , 265 , 45 ," 1,220 ", 330 , -   , -   , -   , 45 , 25 , -   , 30 ,
NT312, Spire Alexandra Hospital - (NT312) , -   , 70 , * , -   , -   , 15 , -   , -   , -   , -   , 240 , 60 , 855 , 280 , -   , -   , * , 25 , 40 , -   , 10 ,
NT302, Spire Bristol Hospital - (NT302) , -   , -   , -   , * , -   , 165 , 430 , -   , -   , -   , * , * ," 1,265 ", -   , -   , -   , * , -   , 15 , -   , * ,
NT315, Spire Bushey Hospital - (NT315) , * , 15 , -   , -   , -   , 35 , * , * , -   , 25 , 435 , 30 , 570 , * , -   , -   , -   , 15 , 35 , -   , * ,
NT317, Spire Cambridge Lea Hospital - (NT317) , -   , * , -   , -   , -   , * , -   , -   , -   , -   , 75 , * , 670 , -   , -   , -   , * , -   , 10 , -   , * ,
NT324, Spire Cheshire Hospital - (NT324) , 15 , 135 , 15 , * , -   , 90 , 315 , 65 , 110 , 195 , 945 , 160 , 815 , 385 , -   , -   , * , 170 , 70 , -   , 90 ,
NT345, Spire Clare Park Hospital - (NT345) , 15 , 25 , * , -   , -   , 20 , -   , * , -   , 10 , 310 , * , 745 , 45 , -   , -   , * , 45 , 40 , -   , 20 ,
NT344, Spire Dunedin Hospital - (NT344) , 10 , 45 , 15 , * , -   , 50 , -   , -   , -   , -   , 640 , 10 , 720 , * , -   , -   , * , 145 , 20 , -   , 30 ,
NT348, Spire Elland Hospital - (NT348) , 10 , 85 , * , -   , -   , 125 , -   , -   , 125 , * , 750 , 30 ," 1,560 ", 770 , -   , -   , * , 295 , 60 , -   , 75 ,
NT347, Spire Fylde Coast Hospital - (NT347) , * , 110 , 20 , * , * , 115 ," 1,475 ", 40 , 85 , 210 , 535 , 15 ," 1,400 ", 520 , -   , -   , * , 180 , 70 , -   , 135 ,
NT308, Spire Gatwick Park Hospital - (NT308) , * , * , -   , -   , -   , 15 , -   , -   , 15 , -   , 85 , * , 365 , * , -   , -   , -   , * , 10 , -   , * ,
NT316, Spire Harpenden Hospital - (NT316) , 10 , 35 , * , * , -   , 150 , -   , * , -   , 105 , 345 , 45 ," 1,095 ", -   , -   , -   , -   , 30 , 85 , -   , * ,
NT319, Spire Hartswood Hospital - (NT319) , -   , * , -   , -   , -   , 90 , -   , 25 , -   , 95 , 230 , * , 655 , 15 , -   , -   , -   , 10 , 15 , -   , * ,
NT351, Spire Hull And East Riding Hospital - (NT351) , * , 40 , -   , -   , * , 125 , -   , 15 , 90 , 40 , 660 , 40 ," 3,740 ", 125 , -   , -   , 10 , 120 , 95 , -   , 25 ,
NT332, Spire Leeds Hospital - (NT332) , 15 , 120 , * , * , -   , 255 , -   , 70 , -   , 230 , 695 , 135 ," 1,185 ", 170 , -   , -   , 10 , 50 , 50 , -   , 55 ,
NT322, Spire Leicester Hospital - (NT322) , -   , 10 , * , -   , -   , 40 , -   , -   , * , -   , -   , 10 ," 1,170 ", -   , -   , -   , -   , * , 40 , -   , * ,
NT321, Spire Little Aston Hospital - (NT321) , * , 60 , -   , -   , -   , 70 , -   , * , -   , 20 , 230 , 35 ," 1,500 ", 315 , -   , -   , * , 25 , 40 , -   , 15 ,
NT337, Spire Liverpool Hospital - (NT337) , 60 , 135 , 55 , * , -   , 235 , 355 , 50 , * , 245 ," 1,705 ", 25 ," 2,920 ", 180 , -   , -   , 10 , 540 , 125 , -   , 405 ,
NT314, Spire London East - (NT314) , 10 , 110 , * , * , * , 120 , -   , 30 , -   , 205 , 525 , 125 ," 3,410 ", 145 , -   , -   , * , 45 , 60 , -   , 15 ,
NT327, Spire Manchester Hospital - (NT327) , 10 , 25 , * , * , -   , 95 , -   , 45 , 50 , 190 , 480 , 15 , 760 , 130 , -   , -   , * , 105 , 70 , -   , 10 ,
NT350, Spire Methley Park Hospital - (NT350) , * , 30 , * , * , * , 140 , -   , * , 70 , 30 , 455 , 10 ," 1,430 ", 370 , -   , -   , * , 70 , 50 , -   , 70 ,
NT364, Spire Montefiore Hospital - (NT364) , 15 , 25 , 15 , -   , -   , 35 , -   , -   , * , -   , 350 , * , 405 , -   , -   , -   , -   , 60 , 15 , -   , 15 ,
NT325, Spire Murrayfield Hospital - (NT325) , * , 80 , -   , -   , -   , 70 , 260 , * , 80 , 55 , 330 , 50 , 895 , 235 , * , -   , * , 80 , 50 , -   , 35 ,
NT30A, Spire Nottingham Hospital - (NT30A) , -   , 20 , -   , -   , -   , 40 , 290 , -   , -   , -   , 160 , * , 595 , 120 , -   , -   , * , 35 , 25 , -   , * ,
NT320, Spire Parkway Hospital - (NT320) , * , 75 , -   , * , -   , 100 , -   , -   , -   , -   , 515 , 20 ," 1,290 ", 170 , -   , -   , * , 40 , 55 , -   , 20 ,
NT305, Spire Portsmouth Hospital - (NT305) , -   , * , -   , -   , -   , 70 , -   , -   , -   , 15 , 100 , * ," 1,045 ", -   , -   , -   , * , * , 60 , -   , * ,
NT339, Spire Regency Hospital - (NT339) , * , 40 , * , -   , -   , 75 , -   , 15 , * , 90 , 495 , 10 ," 1,015 ", 145 , -   , -   , * , 60 , 60 , -   , 25 ,
NT301, Spire South Bank Hospital - (NT301) , * , 75 , 20 , -   , -   , 120 , -   , 10 , * , 65 , 675 , 20 , 575 , 175 , * , -   , * , 120 , 15 , -   , 30 ,
NT304, Spire Southampton Hospital - (NT304) , -   , * , -   , 185 , -   , 25 , -   , -   , 25 , -   , 65 , * , 860 , * , -   , -   , * , 10 , 45 , -   , -   ,
NT3X3, Spire St Anthony's Hospital - (NT3X3) , * , * , -   , -   , -   , -   , -   , -   , -   , 15 , 205 , -   , 135 , -   , -   , -   , -   , * , 10 , -   , * ,
NT309, Spire Sussex Hospital - (NT309) , * , 65 , * , -   , -   , 50 , 225 , 10 , * , 60 , 315 , 15 , 425 , 280 , -   , -   , * , 80 , 15 , -   , 30 ,
NT343, Spire Thames Valley Hospital - (NT343) , -   , 10 , -   , -   , -   , 10 , -   , -   , -   , * , 50 , * , 110 , 35 , -   , -   , * , * , * , -   , * ,
NT310, Spire Tunbridge Wells Hospital - (NT310) , * , 25 , * , -   , -   , * , * , * , -   , 35 , 265 , 10 , 50 , 60 , -   , -   , -   , 25 , * , -   , -   ,
NT333, Spire Washington Hospital - (NT333) , 20 , 105 , * , * , * , 115 , -   , * , 285 , 40 , 700 , 55 ," 2,635 ", 70 , -   , -   , * , 150 , 65 , -   , 35 ,
NT313, Spire Wellesley Hospital - (NT313) , * , 15 , -   , -   , -   , 370 , -   , -   , -   , -   , 275 , 15 ," 4,495 ", -   , -   , -   , * , -   , 50 , -   , 25 ,
NT338, Spire Yale Hospital - (NT338) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
NVC18, Springfield Hospital - (NVC18) , 15 , 75 , 20 , 10 , * , 40 ," 1,140 ", 25 , * , 210 ," 1,150 ", 25 ," 1,810 ", 850 , -   , -   , 15 , 250 , 35 , -   , 305 ,
RJ7, St George's University Hospitals NHS Foundation Trust - (RJ7) ," 3,150 "," 10,300 "," 3,210 "," 2,410 "," 3,330 "," 7,235 ", 340 , 950 ," 11,445 "," 7,410 "," 16,230 "," 3,155 "," 6,920 "," 7,745 "," 10,020 "," 2,040 "," 1,420 "," 15,705 "," 11,895 ", 175 ," 11,215 ",
RBN, St Helens And Knowsley Teaching Hospitals NHS Trust - (RBN) ," 3,900 "," 10,680 "," 1,645 "," 2,005 "," 1,350 "," 1,460 "," 6,700 ", 510 ," 5,885 "," 8,205 "," 16,435 "," 4,710 "," 7,335 "," 6,425 "," 10,625 "," 1,925 ", 260 ," 16,555 "," 13,545 ", 70 ," 6,330 ",
NTE02, St Hugh's Hospital - (NTE02) , * , 50 , 25 , -   , -   , 130 , 640 , 15 , * , 70 ," 1,055 ", 30 ," 2,845 ", 375 , -   , -   , * , 460 , 30 , -   , 110 ,
NQT5K, St Martins Hospital - (NQT5K) , * , * , * , * , * , * , -   , -   , 75 , 15 , * , * , * , * , -   , -   , -   , 85 , 55 , -   , 30 ,
NTPAD, St Mary's NHS Treatment Centre - (NTPAD) , 125 , 390 , 35 , * , * , 210 ," 2,360 ", -   , -   , * ," 4,765 ", 145 , 270 , 225 , -   , -   , * , 410 , * , -   , 185 ,
RWJ, Stockport NHS Foundation Trust - (RWJ) ," 2,795 "," 6,110 "," 2,035 "," 1,070 ", 690 ," 1,670 "," 4,820 ", 500 ," 4,585 "," 8,175 "," 12,880 "," 1,520 "," 7,690 "," 6,035 "," 6,430 "," 1,130 ", 255 ," 6,795 "," 5,395 ", 60 ," 5,660 ",
RXX, Surrey And Borders Partnership NHS Foundation Trust - (RXX) , -   , -   , -   , * ," 1,100 ", 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,305 ", -   , -   , * ,
RTP, Surrey And Sussex Healthcare NHS Trust - (RTP) ," 2,190 "," 5,980 "," 2,105 "," 1,110 ", 830 ," 1,345 "," 7,415 ", 520 ," 5,740 "," 6,440 "," 16,785 "," 1,605 "," 4,625 "," 5,485 "," 6,075 "," 2,475 ", 270 ," 11,925 "," 5,935 ", 115 ," 8,190 ",
RDR, Sussex Community NHS Foundation Trust - (RDR) , 10 , * , * , * , * , * , -   , -   , 15 , 20 , 10 , 15 , 30 , 30 , -   , -   , -   ," 4,165 ", 80 , -   , 20 ,
AJX01, Sussex Msk Partnership 2 Ltd - (AJX01) , * , 25 , 10 , * , -   , 185 , * , -   , 20 , * , 15 , 35 ," 2,480 ", -   , -   , -   , 15 , 15 , 315 , -   , 35 ,
RX2, Sussex Partnership NHS Foundation Trust - (RX2) , -   , -   , -   , -   , 755 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,880 ", -   , -   , * ,
NXP09, Syston Health Centre - (NXP09) , -   , -   , -   , -   , -   , 155 , -   , -   , -   , -   , 140 , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
RMP, Tameside And Glossop Integrated Care NHS Foundation Trust - (RMP) ," 2,025 "," 2,685 "," 1,730 "," 1,355 ", 445 , 795 , 55 , 330 ," 3,260 "," 6,440 "," 10,690 "," 1,345 "," 3,900 "," 2,340 "," 3,405 ", 945 , 95 ," 5,375 "," 3,210 ", 45 ," 2,550 ",
RBA, Taunton And Somerset NHS Foundation Trust - (RBA) ," 2,565 "," 15,745 "," 2,215 "," 1,480 ", 605 ," 2,440 "," 3,285 ", 565 ," 6,695 "," 5,740 "," 13,470 "," 1,475 "," 4,360 "," 5,790 "," 7,055 ", 900 , 255 ," 13,025 "," 6,455 ", 25 ," 6,145 ",
NR525, Tavistock Hospital - (NR525) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 255 , -   , -   , -   ,
NVC0R, Tees Valley Hospital - (NVC0R) , 75 ," 1,075 ", 55 , 10 , * , 165 , * , * , 10 , * ," 3,620 ", 560 ," 1,130 ", 475 , -   , -   , 10 , 850 , 40 , -   , 110 ,
NVC35, Tees Valley Treatment Centre - (NVC35) , * , 15 , -   , -   , -   , * , -   , -   , -   , -   , 30 , * , 15 , * , -   , -   , -   , * , -   , -   , * ,
RX3," Tees, Esk And Wear Valleys NHS Foundation Trust - (RX3) ", -   , -   , -   , -   , 300 , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 200 ,
AAH01, Tetbury Hospital Trust - (AAH01) , -   , 90 , -   , -   , -   , 10 , 730 , -   , -   , -   , 140 , 25 , 120 , 100 , -   , -   , -   , 40 , 10 , -   , * ,
NVC02, The Berkshire Independent Hospital - (NVC02) , * , 40 , * , -   , -   , 155 , 475 , -   , * , -   , 395 , 15 , 795 , 385 , -   , -   , * , 80 , 45 , -   , 35 ,
NW616, The Christie Clinic - (NW616) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   ,
RBV, The Christie NHS Foundation Trust - (RBV) , 605 ," 15,705 "," 1,060 ", 705 , 25 , 205 , 105 , * , 455 , 595 , 740 , 265 , 235 , 860 , -   , -   , 15 , 820 , 475 , 25 ," 1,120 ",
REN, The Clatterbridge Cancer Centre NHS Foundation Trust - (REN) , 295 ," 5,550 "," 1,315 ", 155 , * , 260 , 15 , -   , 35 , 100 , 200 , 25 , 20 , 75 , -   , -   , -   , 210 , 195 , * , 655 ,
NTPAE, The Croft Shifa Health Centre - (NTPAE) , -   , 30 , -   , -   , -   , 10 ," 1,515 ", -   , -   , -   , -   , 10 , -   , -   , -   , -   , * , -   , * , -   , -   ,
RNA, The Dudley Group NHS Foundation Trust - (RNA) ," 2,575 "," 10,020 "," 1,940 "," 2,090 ", 385 ," 1,790 "," 5,870 ", 345 ," 6,290 "," 6,890 "," 13,780 "," 3,150 "," 8,335 "," 5,615 "," 13,630 "," 1,380 ", 310 ," 10,110 "," 4,730 ", 95 ," 6,145 ",
RAS, The Hillingdon Hospitals NHS Foundation Trust - (RAS) ," 2,180 "," 4,675 "," 1,965 "," 1,085 ", 345 ," 1,095 "," 2,065 ", 70 ," 2,535 "," 4,540 "," 8,835 "," 1,710 "," 6,185 "," 3,530 "," 7,015 "," 1,375 ", 170 ," 7,565 "," 2,790 ", 110 ," 4,515 ",
NXM01, The Horder Centre - St Johns Road - (NXM01) , -   , * , * , -   , * , 75 , -   , -   , * , -   , -   , * ," 3,050 ", -   , -   , -   , * , * , 145 , -   , -   ,
NXM04, The Mcindoe Centre - (NXM04) , * , * , -   , * , -   , 90 , -   , -   , -   , -   , -   , 10 , 535 , -   , -   , -   , -   , * , 35 , -   , * ,
DX101, The New Foscote Hospital (Foscote Hospital) - (DX101) , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , 225 , * , 45 , 80 , -   , -   , * , 30 , * , -   , * ,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust - (RTD) ," 5,040 "," 39,725 "," 5,780 "," 4,350 "," 1,205 "," 8,435 "," 11,160 "," 1,430 "," 13,435 "," 12,925 "," 26,235 "," 6,655 "," 17,030 "," 14,960 "," 9,100 "," 2,660 "," 3,520 "," 20,545 "," 16,270 ", 120 ," 14,725 ",
RQW, The Princess Alexandra Hospital NHS Trust - (RQW) ," 1,725 "," 7,985 "," 1,905 "," 1,575 ", 425 , 800 ," 1,175 ", 360 ," 3,680 "," 4,615 "," 8,895 "," 1,545 "," 6,380 "," 4,960 "," 12,275 "," 1,095 ", 205 ," 9,200 "," 5,080 ", 55 ," 5,655 ",
NW601, The Princess Grace Hospital - (NW601) , -   , 15 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   ,
RCX," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust - (RCX) "," 2,490 "," 13,065 "," 2,625 "," 1,195 ", 530 ," 1,180 "," 7,045 ", 400 ," 4,310 "," 5,520 "," 11,240 "," 2,280 "," 5,105 "," 5,290 "," 7,110 "," 1,025 ", 330 ," 10,740 "," 4,135 ", 35 ," 4,845 ",
RL1, The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust - (RL1) , * , 510 , 30 , 15 , * ," 1,380 ", -   , -   , 25 , 25 , * , 165 ," 8,660 ", 25 , -   , -   , 245 , 45 ," 1,710 ", -   , 465 ,
RFR, The Rotherham NHS Foundation Trust - (RFR) ," 1,865 "," 6,205 "," 1,935 ", 835 , 355 , 765 ," 1,800 ", 315 ," 2,850 "," 4,660 "," 9,820 "," 1,260 "," 3,610 "," 3,650 "," 4,290 ", 785 , 85 ," 7,105 "," 4,120 ", 15 ," 3,565 ",
