"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RA2, Royal Surrey County Hospital NHS Foundation Trust (RA2) ," 2,465 "," 11,515 "," 2,110 ", 665 , 585 ," 1,175 "," 2,525 ", 585 ," 2,945 "," 4,700 "," 14,620 "," 1,720 "," 5,610 "," 4,230 "," 4,990 "," 1,330 ", 200 ," 8,455 "," 6,125 ", -   ," 5,700 ",
RD1, Royal United Hospitals Bath NHS Foundation Trust (RD1) ," 3,355 "," 9,665 "," 2,400 "," 1,310 ", 550 ," 2,025 "," 2,215 ", 475 ," 5,605 "," 6,530 "," 10,485 "," 1,385 "," 5,905 "," 3,695 "," 6,480 "," 1,525 ", 305 ," 12,080 "," 6,940 ", -   ," 5,550 ",
8G301, Ryalls Ann (Counsellor) (8G301) , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 75 , 20 , -   , -   , -   , 45 , * , -   , * ,
RM3, Salford Royal NHS Foundation Trust (RM3) ," 2,975 "," 7,745 "," 2,970 "," 3,140 "," 1,135 "," 10,815 ", 140 , 395 ," 5,440 "," 5,255 "," 12,895 "," 2,620 "," 9,290 "," 5,190 "," 3,175 ", 55 , 195 ," 12,160 "," 7,415 ", -   ," 3,515 ",
RNZ, Salisbury NHS Foundation Trust (RNZ) ," 1,540 "," 4,120 ", 745 , 730 , 220 ," 1,220 "," 1,790 ", 340 ," 3,300 "," 3,105 "," 8,360 "," 1,640 "," 4,465 "," 3,155 "," 6,135 ", 970 , 395 ," 6,825 "," 5,420 ", -   ," 4,115 ",
RXK-X, Sandwell And West Birmingham Hospitals NHS Trust (RXK-X) ," 3,310 "," 8,130 "," 3,465 "," 1,595 ", 780 ," 1,160 "," 8,855 ", 195 ," 5,550 "," 8,335 "," 8,765 "," 3,420 "," 4,250 "," 4,950 "," 8,805 "," 3,175 ", 245 ," 11,570 "," 6,240 ", -   ," 5,185 ",
8J285, Shaw Healthcare (Ledbury) Limited (8J285) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   ,
RCU, Sheffield Children's NHS Foundation Trust (RCU) , 915 ," 2,425 ", 490 , 590 , 75 ," 1,135 ", 415 , 425 , 70 ," 1,935 "," 4,430 ", 590 ," 1,625 "," 1,265 ", -   , 310 ," 1,940 "," 2,015 "," 2,230 ", -   ," 2,100 ",
RHQ, Sheffield Teaching Hospitals NHS Foundation Trust (RHQ) ," 5,145 "," 49,490 "," 6,080 "," 4,125 "," 1,255 "," 8,530 "," 9,705 ", 950 ," 17,800 "," 10,555 "," 29,340 "," 5,290 "," 15,690 "," 8,265 "," 20,865 "," 3,205 "," 1,050 "," 18,430 "," 12,045 ", -   ," 11,830 ",
NDAJ1, Sheppey Community Hospital (NDAJ1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 140 , -   , -   , -   ,
NTPH1, Shepton Mallet NHS Treatment Centre (NTPH1) , 20 , 55 , 45 , * , * , 305 ," 1,395 ", 15 , 10 , 140 ," 1,600 ", 35 ," 2,230 ", 190 , -   , -   , * , 280 , 90 , -   , 150 ,
RK5, Sherwood Forest Hospitals NHS Foundation Trust (RK5) ," 3,030 "," 8,385 "," 2,170 "," 1,595 ", 625 ," 1,440 "," 2,250 ", 595 ," 4,740 "," 6,275 "," 11,605 "," 2,670 "," 6,835 "," 6,990 "," 9,010 "," 1,225 ", 220 ," 11,740 "," 4,900 ", -   ," 6,800 ",
RXW, Shrewsbury And Telford Hospital NHS Trust (RXW) ," 4,400 "," 25,625 "," 3,060 "," 3,030 ", 405 ," 1,870 "," 3,800 ", 500 ," 8,140 "," 9,840 "," 17,615 "," 1,850 "," 4,195 "," 7,575 "," 6,415 "," 1,855 ", 320 ," 13,860 "," 6,585 ", -   ," 6,435 ",
R1D, Shropshire Community Health NHS Trust (R1D) , 65 , 75 , * , 30 , 20 , 80 , * , * , 140 , 245 , 880 , 65 , 200 , 205 , -   , -   , -   , 255 , 380 , -   , 85 ,
NDAJ2, Sittingbourne Memorial Hospital (NDAJ2) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 145 , -   , -   , -   ,
R1C, Solent NHS Trust (R1C) , 30 , 95 , * , 10 , 40 , 60 , -   , -   , 120 , 100 , 30 , 25 , 85 , 45 , -   , -   , -   , 175 , 295 , -   , * ,
RH5, Somerset Partnership NHS Foundation Trust (RH5) , 25 , 100 , * , 15 , 830 , 55 , * , * , 300 , 105 , 30 , 40 , 160 , 25 , -   , -   , -   ," 1,350 ", 620 , -   , 25 ,
NFH01, Somerset Surgical Services (NFH01) , 15 , 225 , * , -   , -   , 40 , 640 , * , * , * , 315 , 150 , 230 , * , -   , -   , * , -   , 15 , -   , 10 ,
NR526, South Hams (Kingsbridge) Hospital (NR526) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 335 , -   , -   , -   ,
RV5, South London And Maudsley NHS Foundation Trust (RV5) , -   , -   , -   , -   ," 4,970 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 170 , -   , -   , 95 ,
RRE, South Staffordshire And Shropshire Healthcare NHS Foundation Trust (RRE) , -   , -   , -   , * ," 1,175 ", 40 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 700 , * , -   , 45 ,
RTR, South Tees Hospitals NHS Foundation Trust (RTR) ," 5,465 "," 24,850 "," 4,120 "," 3,145 ", 800 ," 4,515 "," 5,010 "," 1,155 "," 10,975 "," 11,120 "," 18,530 "," 4,780 "," 12,380 "," 7,685 "," 8,675 "," 1,675 ", 965 ," 11,805 "," 9,565 ", -   ," 7,670 ",
RE9, South Tyneside NHS Foundation Trust (RE9) ," 1,470 "," 5,130 "," 1,040 ", 625 , 280 , 385 , 10 , 25 ," 2,025 "," 3,105 "," 5,525 ", 715 ," 2,240 "," 1,325 "," 3,255 ", 375 , 35 ," 4,335 "," 2,065 ", -   ," 1,720 ",
RJC, South Warwickshire NHS Foundation Trust (RJC) ," 2,490 "," 10,540 ", 870 ," 1,280 ", 335 , 950 ," 2,235 ", 405 ," 2,640 "," 4,030 "," 7,385 "," 1,085 "," 5,135 "," 4,660 "," 4,125 "," 1,510 ", 150 ," 7,730 "," 4,055 ", -   ," 3,685 ",
RQY, South West London And St George's Mental Health NHS Trust (RQY) , -   , * , -   , -   , 985 , * , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , 55 , * , -   , * ,
RXG, South West Yorkshire Partnership NHS Foundation Trust (RXG) , 10 , 10 , -   , * ," 1,730 ", 125 , -   , -   , 190 , 70 , 15 , 20 , 25 , 40 , -   , -   , * , 110 , 105 , -   , 25 ,
NTP11, Southampton NHS Treatment Centre (NTP11) , 45 , 470 , 65 , 10 , 30 , 290 , 965 , 65 , 15 , 305 ," 6,055 ", 205 ," 2,050 ", 825 , -   , -   , 10 , 860 , 245 , -   , 475 ,
RAJ, Southend University Hospital NHS Foundation Trust (RAJ) ," 2,125 "," 19,280 "," 2,410 "," 1,730 ", 420 ," 1,970 "," 5,555 ", 415 ," 5,635 "," 6,280 "," 9,840 "," 2,165 "," 8,310 "," 5,760 "," 6,640 ", 815 , 225 ," 12,995 "," 5,415 ", -   ," 6,290 ",
RW1, Southern Health NHS Foundation Trust (RW1) , 195 , 550 , 300 , 110 ," 1,830 ", 180 , 295 , 20 , 340 , 705 ," 1,585 ", 170 , 390 , 605 , -   , -   , -   ," 2,925 ", 465 , -   , 455 ,
RVY, Southport And Ormskirk Hospital NHS Trust (RVY) ," 2,235 "," 5,040 "," 2,145 "," 1,620 ", 335 , 720 ," 2,345 ", 220 ," 2,295 "," 4,020 "," 7,645 ", 990 ," 4,255 "," 2,470 "," 3,535 "," 1,140 ", 80 ," 5,030 "," 3,095 ", -   ," 3,270 ",
NPG05, Spamedica - Newton-Le-Willows (NPG05) , -   , -   , -   , -   , -   , -   ," 2,390 ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NPG02, Spamedica (Birkenhead) (NPG02) , -   , -   , -   , -   , -   , -   ," 3,695 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , * ,
NPG08, Spamedica (Bolton) (NPG08) , -   , -   , -   , -   , -   , -   ," 3,135 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , * ,
NPG01, Spamedica (Manchester) (NPG01) , -   , -   , -   , -   , -   , -   ," 9,140 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , * ,
NPG10, Spamedica (Sheffiled) (NPG10) , -   , -   , -   , -   , -   , -   , 655 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NPG07, Spamedica Eye Hospital (Wakefield) (NPG07) , -   , -   , -   , -   , -   , -   ," 7,530 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , * , -   , * ,
NPG06, Spamedica Liverpool (NPG06) , -   , -   , -   , -   , -   , -   ," 1,900 ", -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   ,
NT312, Spire Alexandra Hospital (NT312) , 10 , 90 , * , * , -   , 25 , -   , -   , * , -   , 290 , 90 , 735 , 215 , -   , -   , -   , 30 , 15 , -   , * ,
NT302, Spire Bristol Hospital (NT302) , -   , * , -   , -   , -   , 205 , 45 , -   , -   , -   , 25 , -   ," 1,195 ", -   , -   , -   , -   , * , 10 , -   , * ,
NT315, Spire Bushey Hospital (NT315) , * , 25 , -   , -   , -   , 35 , -   , -   , -   , -   , 450 , 40 , 550 , * , -   , -   , * , 20 , 15 , -   , * ,
NT317, Spire Cambridge Lea Hospital (NT317) , -   , 10 , -   , * , -   , * , -   , -   , -   , -   , 40 , * , 795 , -   , -   , -   , * , * , 25 , -   , * ,
NT324, Spire Cheshire Hospital (NT324) , 15 , 95 , 25 , 10 , -   , 80 , 205 , 75 , 85 , 235 , 795 , 110 ," 1,005 ", 420 , -   , -   , * , 140 , 60 , -   , 45 ,
NT345, Spire Clare Park Hospital (NT345) , 10 , 25 , * , -   , -   , 25 , -   , * , -   , 10 , 190 , 10 , 765 , 55 , -   , -   , * , 45 , 10 , -   , 15 ,
NT344, Spire Dunedin Hospital (NT344) , 15 , 30 , 20 , -   , -   , 105 , -   , -   , -   , -   , 465 , 10 , 945 , -   , -   , -   , * , 165 , 20 , -   , 25 ,
NT348, Spire Elland Hospital (NT348) , 15 , 70 , 10 , * , -   , 185 , -   , -   , 35 , -   ," 1,020 ", 20 ," 1,765 ", 655 , -   , -   , * , 215 , 60 , -   , 180 ,
NT347, Spire Fylde Coast Hospital (NT347) , * , 60 , * , * , * , 65 , 990 , 40 , 125 , 345 , 520 , 25 ," 1,775 ", 365 , -   , -   , * , 105 , 55 , -   , 155 ,
NT308, Spire Gatwick Park Hospital (NT308) , -   , * , -   , -   , -   , 15 , -   , -   , 15 , -   , 155 , * , 495 , 10 , -   , -   , * , * , 10 , -   , * ,
NT316, Spire Harpenden Hospital (NT316) , * , 20 , -   , -   , -   , 85 , -   , 25 , -   , 135 , 135 , 40 ," 1,110 ", * , -   , -   , * , 15 , 55 , -   , * ,
NT319, Spire Hartswood Hospital (NT319) , -   , 10 , -   , -   , -   , 50 , 285 , 25 , * , 135 , 205 , 10 , 430 , 30 , -   , -   , * , 15 , * , -   , 15 ,
NT351, Spire Hull And East Riding Hospital (NT351) , 20 , 440 , * , * , 10 , 270 , * , 15 , 150 , 45 , 750 , 365 ," 6,510 ", 150 , * , -   , 15 , 335 , 85 , -   , 40 ,
NT332, Spire Leeds Hospital (NT332) , 10 , 130 , * , -   , -   , 280 , * , 55 , * , 195 , 870 , 140 ," 1,440 ", * , -   , -   , * , 55 , 70 , -   , 25 ,
NT322, Spire Leicester Hospital (NT322) , -   , 10 , -   , -   , -   , 60 , -   , -   , -   , -   , 30 , 20 ," 1,120 ", -   , -   , -   , -   , * , 35 , -   , * ,
NT321, Spire Little Aston Hospital (NT321) , * , 55 , * , -   , -   , 95 , -   , -   , -   , -   , 225 , 25 ," 1,820 ", 225 , -   , -   , * , 10 , 30 , -   , 15 ,
NT337, Spire Liverpool Hospital (NT337) , 50 , 135 , 40 , * , * , 295 , 550 , 50 , * , 260 ," 1,920 ", 25 ," 3,055 ", 330 , -   , -   , 10 , 435 , 130 , -   , 320 ,
NT327, Spire Manchester Hospital (NT327) , -   , 15 , * , -   , -   , 45 , -   , 20 , 65 , 125 , 235 , 20 , 735 , 60 , -   , -   , * , 50 , 40 , -   , * ,
NT350, Spire Methley Park Hospital (NT350) , * , 80 , * , * , -   , 120 , 25 , 15 , 105 , 90 , 405 , 25 ," 1,345 ", 550 , -   , -   , * , 50 , 50 , -   , 95 ,
NT364, Spire Montefiore Hospital (NT364) , 35 , 40 , 15 , * , -   , 35 , -   , -   , -   , -   , 320 , * , 505 , 30 , -   , -   , -   , 175 , 10 , -   , 15 ,
NT325, Spire Murrayfield Hospital (NT325) , 10 , 55 , * , -   , -   , 115 , 465 , 10 , 95 , 65 , 380 , 25 , 935 , 185 , -   , -   , * , 45 , 30 , -   , 10 ,
NT318, Spire Norwich Hospital (NT318) , -   , * , -   , -   , -   , * , -   , -   , -   , 35 , -   , -   ," 1,150 ", * , -   , -   , -   , * , 25 , -   , * ,
NT30A, Spire Nottingham Hospital (NT30A) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 10 , -   , -   , -   , -   , * , -   , -   , -   ,
NT320, Spire Parkway Hospital (NT320) , * , 45 , * , 25 , -   , 165 , -   , -   , -   , -   , 500 , 20 ," 1,745 ", 330 , -   , -   , 10 , 55 , 35 , -   , 20 ,
NT305, Spire Portsmouth Hospital (NT305) , -   , * , -   , -   , -   , 50 , -   , -   , -   , -   , 85 , * ," 1,030 ", -   , -   , -   , * , -   , 25 , -   , * ,
NT339, Spire Regency Hospital (NT339) , * , 35 , 10 , -   , -   , 105 , -   , 20 , -   , 80 , 465 , 15 , 935 , 160 , * , -   , * , 45 , 35 , -   , 25 ,
NT314, Spire Roding Hospital (NT314) , * , 150 , * , * , -   , 80 , -   , 55 , -   , 200 , 470 , 125 ," 3,165 ", 350 , -   , -   , 10 , 55 , 40 , -   , 35 ,
NT301, Spire South Bank Hospital (NT301) , * , 70 , * , * , -   , 230 , * , 15 , -   , 60 , 735 , 25 , 880 , 285 , -   , -   , * , 90 , 20 , -   , 25 ,
NT304, Spire Southampton Hospital (NT304) , -   , 15 , -   , 155 , -   , 75 , 55 , -   , * , -   , 140 , * ," 1,085 ", 60 , -   , -   , * , 15 , 30 , -   , * ,
NT3X3, Spire St Anthony's Hospital (NT3X3) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 65 , -   , 25 , * , -   , -   , -   , * , -   , -   , -   ,
NT309, Spire Sussex Hospital (NT309) , -   , 35 , -   , * , -   , 80 , -   , 15 , -   , 35 , 70 , 15 , 585 , 145 , -   , -   , * , 10 , 15 , -   , 10 ,
NT343, Spire Thames Valley Hospital (NT343) , * , 10 , -   , * , -   , * , -   , * , * , 15 , 140 , * , 175 , 80 , -   , -   , * , 10 , 20 , -   , * ,
NT310, Spire Tunbridge Wells Hospital (NT310) , * , 45 , * , * , -   , 20 , -   , -   , -   , 40 , 290 , 10 , 275 , 75 , -   , -   , * , 35 , 10 , -   , * ,
NT333, Spire Washington Hospital (NT333) , 40 , 75 , * , -   , * , 225 , -   , 10 , 250 , 30 , 855 , 40 ," 2,865 ", 85 , * , -   , * , 195 , 60 , -   , 25 ,
NT313, Spire Wellesley Hospital (NT313) , * , 25 , -   , -   , -   , 380 , 60 , -   , -   , -   , 355 , 45 ," 4,520 ", -   , -   , -   , * , * , 65 , -   , 25 ,
NT338, Spire Yale Hospital (NT338) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
NVC18, Springfield Hospital (NVC18) , 15 , 85 , 25 , * , * , 105 ," 1,240 ", 25 , * , 265 ," 1,270 ", 35 ," 2,115 ", 770 , -   , -   , 15 , 175 , 30 , -   , 240 ,
NQ713, St Bartholomew's Hospital (Rochester) (NQ713) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 235 , -   , -   , -   ,
RJ7, St George's University Hospitals NHS Foundation Trust (RJ7) ," 3,220 "," 10,435 "," 2,050 "," 2,190 "," 2,535 "," 6,370 ", 325 ," 1,100 "," 12,005 "," 7,870 "," 14,670 "," 2,650 "," 6,320 "," 7,185 "," 9,290 "," 1,100 "," 1,520 "," 14,800 "," 12,680 ", -   ," 11,625 ",
RBN, St Helens And Knowsley Hospital Services NHS Trust (RBN) ," 4,770 "," 10,490 "," 1,135 "," 1,245 "," 1,265 "," 1,645 "," 5,695 ", 495 ," 5,460 "," 7,765 "," 15,465 "," 4,650 "," 7,165 "," 6,615 "," 9,725 "," 1,550 ", 335 ," 16,880 "," 12,050 ", -   ," 7,180 ",
NTE02, St Hugh's Hospital (NTE02) , * , 15 , -   , * , -   , 90 , 835 , * , * , 20 , 660 , 20 ," 2,440 ", 415 , -   , -   , -   , 350 , 305 , -   , 10 ,
NQT5K, St Martins Hospital (NQT5K) , 10 , * , * , * , * , * , * , -   , 75 , 40 , * , * , 15 , 20 , -   , -   , -   , 15 , 100 , -   , * ,
NTPAD, St Mary's NHS Treatment Centre (NTPAD) , 35 , 260 , 45 , -   , -   , 245 ," 1,825 ", -   , * , * ," 4,315 ", 110 , 225 , 145 , -   , -   , * , 545 , * , -   , 220 ,
R1E, Staffordshire And Stoke On Trent Partnership NHS Trust (R1E) , 25 , 200 , 440 , 40 , * , 585 , -   , -   , 310 , 115 , 55 , 55 ," 2,670 ", 95 , -   , -   , -   , 480 , 265 , -   , 85 ,
NHW01, Standard Health Ltd Hq (NHW01) , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , 100 , -   , -   , -   , * , -   , * , -   , -   ,
RWJ, Stockport NHS Foundation Trust (RWJ) ," 3,420 "," 5,780 "," 1,875 "," 1,030 ", 770 ," 1,725 "," 4,775 ", 505 ," 5,440 "," 7,000 "," 13,390 "," 1,625 "," 8,350 "," 6,165 "," 7,100 "," 1,105 ", 305 ," 7,775 "," 6,190 ", -   ," 5,660 ",
NAM09, Stratton Community Hospital (NAM09) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NAM03, Stratton Medical Centre (NAM03) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ,
RXX, Surrey And Borders Partnership NHS Foundation Trust (RXX) , -   , -   , -   , -   , 285 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,845 ", -   , -   , * ,
RTP, Surrey And Sussex Healthcare NHS Trust (RTP) ," 2,925 "," 5,215 "," 1,975 ", 990 , 605 ," 1,240 "," 6,115 ", 535 ," 4,845 "," 6,125 "," 14,805 "," 1,380 "," 5,090 "," 5,050 "," 6,195 "," 2,225 ", 150 ," 11,850 "," 5,510 ", -   ," 5,165 ",
NYG26, Sussex Community Dermatology Servce (Worthing Skin Clinic) (NYG26) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
RDR, Sussex Community NHS Foundation Trust (RDR) , 10 , 10 , * , 10 , 10 , * , * , * , 40 , 45 , 20 , 25 , 40 , 50 , -   , -   , -   ," 3,775 ", 135 , -   , 30 ,
AJX01, Sussex Msk Partnership 2 Ltd (AJX01) , * , 30 , * , 10 , -   , 220 , * , -   , 30 , * , 15 , 60 ," 2,675 ", * , -   , -   , 20 , 15 , 380 , -   , 40 ,
RX2, Sussex Partnership NHS Foundation Trust (RX2) , -   , -   , -   , -   ," 1,600 ", * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ," 1,540 ", -   , -   , -   ,
NXP09, Syston Health Centre (NXP09) , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
RMP, Tameside And Glossop Integrated Care NHS Foundation Trust (RMP) ," 2,570 "," 2,485 "," 1,470 "," 1,300 ", 455 , 905 , 55 , 375 ," 3,010 "," 6,205 "," 10,210 "," 1,175 "," 4,065 "," 2,250 "," 3,785 "," 1,015 ", 95 ," 5,325 "," 3,150 ", -   ," 2,710 ",
RBA, Taunton And Somerset NHS Foundation Trust (RBA) ," 3,075 "," 14,695 "," 2,255 "," 1,370 ", 580 ," 2,240 "," 3,605 ", 525 ," 6,410 "," 5,930 "," 11,340 "," 1,620 "," 4,490 "," 5,085 "," 7,920 "," 1,250 ", 220 ," 12,260 "," 6,335 ", -   ," 6,755 ",
NR525, Tavistock Hospital (NR525) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 255 , -   , -   , -   ,
NVC0R, Tees Valley Hospital (NVC0R) , * , 50 , * , * , -   , * , * , -   , -   , -   , 270 , 80 , 15 , * , -   , -   , * , 90 , -   , -   , * ,
NVC35, Tees Valley Treatment Centre (NVC35) , 60 , 845 , 60 , 15 , 25 , 205 , * , * , 20 , * ," 2,800 ", 685 , 675 , 260 , -   , -   , 10 , 735 , 15 , -   , 210 ,
RX3," Tees, Esk And Wear Valleys NHS Foundation Trust (RX3) ", * , * , -   , -   ," 3,485 ", 260 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 125 , -   , -   ," 2,195 ",
AAH01, Tetbury Hospital Trust (AAH01) , -   , 225 , -   , -   , -   , 20 , 270 , * , -   , * , 170 , 35 , 100 , 70 , -   , -   , -   , 45 , * , -   , * ,
NVC02, The Berkshire Independent Hospital (NVC02) , * , 25 , * , -   , -   , 120 , 365 , -   , -   , * , 405 , 10 , 655 , 210 , -   , -   , * , 70 , 20 , -   , 30 ,
RBV, The Christie NHS Foundation Trust (RBV) , 475 ," 14,045 "," 1,195 ", 645 , * , 185 , 65 , * , 380 , 565 , 655 , 235 , 235 , 570 , -   , -   , 20 ," 1,095 ", 495 , -   , 815 ,
REN, The Clatterbridge Cancer Centre NHS Foundation Trust (REN) , 285 ," 4,250 ", 945 , 160 , * , 180 , * , -   , 40 , 85 , 85 , 10 , 35 , 75 , * , -   , * , 115 , 440 , -   , 125 ,
NTPAE, The Croft Shifa Health Centre (NTPAE) , -   , 35 , -   , -   , -   , 10 ," 1,155 ", -   , -   , -   , -   , * , * , -   , -   , -   , -   , * , -   , -   , -   ,
RNA, The Dudley Group NHS Foundation Trust (RNA) ," 3,150 "," 9,700 "," 2,100 "," 1,530 ", 505 ," 1,590 "," 6,250 ", 535 ," 5,865 "," 7,565 "," 12,495 "," 3,235 "," 11,010 "," 6,555 "," 14,745 "," 1,895 ", 320 ," 11,655 "," 5,635 ", -   ," 6,410 ",
RAS, The Hillingdon Hospitals NHS Foundation Trust (RAS) ," 2,830 "," 4,100 "," 1,635 "," 1,035 ", 300 ," 1,160 "," 2,245 ", 85 ," 2,235 "," 3,700 "," 8,595 "," 1,320 "," 6,515 "," 3,510 "," 7,920 "," 1,640 ", 210 ," 7,140 "," 3,320 ", -   ," 4,720 ",
NXM01, The Horder Centre - St Johns Road (NXM01) , -   , * , -   , * , -   , 75 , -   , -   , -   , -   , -   , 15 ," 3,900 ", -   , -   , -   , * , * , 180 , -   , * ,
NXM04, The Mcindoe Centre (NXM04) , -   , * , -   , * , -   , 110 , -   , -   , * , -   , -   , 10 ," 1,080 ", * , -   , -   , * , 10 , 15 , -   , -   ,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust (RTD) ," 4,160 "," 38,565 "," 4,845 "," 3,890 ", 930 ," 7,880 "," 11,655 "," 1,610 "," 13,240 "," 10,845 "," 24,950 "," 5,665 "," 16,780 "," 12,025 "," 9,480 "," 2,455 "," 3,890 "," 15,450 "," 14,490 ", -   ," 15,750 ",
NTP35, The Phoenix Centre (NTP35) , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RQW, The Princess Alexandra Hospital NHS Trust (RQW) ," 1,885 "," 7,295 "," 1,520 "," 1,280 ", 250 , 820 ," 1,200 ", 310 ," 3,600 "," 4,295 "," 8,115 "," 1,150 "," 5,130 "," 4,315 "," 11,750 "," 1,380 ", 185 ," 6,350 "," 3,575 ", -   ," 5,430 ",
RCX," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust (RCX) "," 2,765 "," 11,520 "," 2,550 "," 1,235 ", 475 ," 1,250 "," 6,015 ", 385 ," 4,175 "," 5,345 "," 10,525 "," 2,080 "," 4,925 "," 5,350 "," 5,705 "," 1,045 ", 205 ," 10,360 "," 4,460 ", -   ," 5,285 ",
RL1, The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust (RL1) , * , 455 , 30 , 10 , * ," 1,325 ", -   , -   , 35 , 25 , * , 175 ," 9,840 ", 20 , -   , * , 215 , 60 ," 1,725 ", -   , 570 ,
RFR, The Rotherham NHS Foundation Trust (RFR) ," 1,930 "," 6,595 "," 1,495 ", 750 , 240 , 795 ," 2,325 ", 330 ," 2,600 "," 5,260 "," 10,005 "," 1,270 "," 4,070 "," 4,965 "," 7,310 ", 805 , 105 ," 7,840 "," 4,305 ", -   ," 4,430 ",
RDZ, The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust (RDZ) ," 1,950 "," 18,860 "," 3,210 "," 1,710 ", 870 ," 1,945 "," 8,585 ", 125 ," 10,415 "," 4,755 "," 15,890 "," 2,280 "," 8,580 "," 6,700 ", 740 , * , 85 ," 10,325 "," 4,625 ", -   ," 2,905 ",
RPY, The Royal Marsden NHS Foundation Trust (RPY) , 595 ," 14,510 "," 1,325 ", 390 , * , 40 , 10 , * , 150 , 370 ," 1,490 ", 145 , 120 , 745 , * , -   , * , 815 , 410 , -   ," 2,425 ",
